Event Name,Founding Year,Significance,Location,Founders,Annual Occurrence,Historical Context,Attendance Numbers,Attendance Growth,Criticisms Faced,Impact on LGBTQ+ Community,Rentboy.com,International Escort Awards,Hustlaball,Attendance,Parade Route,Economic Impact,Special Decorations,Locations,Duration,Awards/Recognition,Winners,Representation at Mr. Gay World,trigger
Bialystok Equality March,2019,"Inaugural march faced violent opposition from far-right groups and football fans, held in a region known for conservative views, part of broader LGBT rights movement in Poland","Bialystok, Podlaskie Voivodeship, Poland","LGBT activists, local supporters",First held in July 2019,"First march in 2019, faced violent opposition, held in LGBT-free zone, response from local government and Catholic Church, part of national debate on LGBT rights in Poland",,,,,,,,,,,,,,,,,Bia艂ystok equality march
Bristol Pride,1977,"Annual festival in Bristol promoting equality and diversity, organised by Bristol Pride charity, includes Pride Day with march and various events, first held in 1977",Bristol,Bristol Pride charity,Annually in July,"First held in 1977 as fundraiser, evolved from Avon Pride, gap in events until 2010, moved to Bristol Harbourside in 2016",,,,,,,,,,,,,,,,,Bristol Pride
Bucharest Pride,2004,"Annual festival dedicated to LGBT rights in Romania, organized by ACCEPT, funded by various organizations, includes cultural events, seminars, debates, and pride parade",Bucharest,"Kyle David Kipp, ACCEPT, Romanian Ministry of Health, National Council for Combating Discrimination, Open Society Institute, British Council in Romania",Annually in May-June,"First event in 2004, occurs in May-June, culminates with March of Diversity, began after decriminalization of homosexual sex in 1996, aims to create a better society for LGBT individuals",,,,,,,,,,,,,,,,,Bucharest Pride
Budapest Pride,1997,"Hungary's largest annual LGBT event, march along Andrássy Avenue, disrupted by radical right-wing demonstrators, includes film and cultural festival",Budapest,"Viktória Radványi, Budapest Pride board members, local organizers",Annually in July,"Held annually since 1997, disrupted in 2007 and 2008, minimal incidents in recent years, various events beyond the march, over 100 events in 2011",,,,,,,,,,,,,,,,,Budapest Pride
Cape Town Pride,1993,"Week-long event ending with a pride parade, first parade in 1993, part of a week-long event since 2001, various themes over the years","Cape Town, South Africa","Local organizers, supporters",Annually,"First South African pride parade in 1990, first Cape Town pride parade in 1993, interruptions and resumptions, protests in 2001, event themes from 2006 onwards",,,,,,,,,,,,,,,,,Cape Town Pride
Capital City Pride,1991,"Two-day festival and parade celebrating the region's LGBT community, held at Sylvester Park, traditionally on a Saturday, moved to Sunday in 2007, expanded to two days in 2010","Olympia, Washington","Grassroots organization, Olympia Rainbow Center",Annually,"Founded in 1991, operated under Olympia Rainbow Center, independent group with committee and elected officers, expanded marketing and sponsorship in 2007-2008",,,,,,,,,,,,,,,,,Capital City Pride
,,,,,,,,,,,,,,,,,,,,,,,Capital Pride
Chandigarh LGBTQ Pride Walk,2013,"Celebrates and unites LGBTQ community, first pride march in North India after Delhi, organized by Saksham Trust, incorporates local folk dances","Chandigarh, Punjab and Haryana, India",Saksham Trust,"Annually during ""Garvotsava"" pride week celebrations","First march in 2013, route from Panjab University to Sector 17 plaza, low turnout in first march, second edition in 2014 post Section 377 verdict, third edition in 2015 with increased student support",,,,,,,,,,,,,,,,,Chandigarh LGBT Pride Walk
Chicago Pride Parade,1970,"One of the largest pride parades globally, celebrates LGBTQ rights, first held in 1970, attracts over 500,000 spectators, significant political participation","Chicago, Illinois","LGBTQ community, Chicago City Council, Mayor of Chicago",Annually in June,"First parade from Washington Square Park to Civic Center Plaza, expanded route to Uptown neighborhood, increased political presence, strong support from Illinois politicians",,,,,,,,,,,,,,,,,Chicago Pride Parade
Cincinnati Pride,1973,"Week-long celebration of the LGBTQIA+ community, anchor event is the pride parade, corporate and non-profit sponsors, involvement of various LGBT groups, commemorates Stonewall riots","Cincinnati, Ohio","Delta Air Lines, P&G, US Bank, Fifth Third Bank, The Kroger Co., TriHealth, Human Rights Campaign, PFLAG, GLSEN, Dykes on Bikes, Imperial Court System, various BDSM groups, churches, entertainers, politicians",Annually in June,"Started in 1973, festival formed from a political rally, takes place at Sawyer Point Park and Yeatman's Cove, incorporation as a non-profit in 2013, tax-exempt status granted in 2015",,,,,,,,,,,,,,,,,Cincinnati Pride
Columbus Pride,1981,"Second largest LGBT pride event in the Midwest, estimated over 300,000 participants in 2014, 500,000 attendees in 2019, features parades with marching bands, firetrucks, motorcycles, and floats","Columbus, Ohio",Stonewall Columbus,Annually,"First parade in 1981 with 200 attendees, marred by anti-LGBTQ protests, including flag burning incidents, hosted George Takei in 2014 and Jim Obergefell in 2015, 2020 parade canceled due to COVID-19",,,,,,,,,,,,,,,,,Columbus Pride
Come Out with Pride,2005,"Organized by a 501 nonprofit organization, one of the largest pride events in Florida, community activities centered at Pulse nightclub, sponsored by Metropolitan Business Association","Orlando, Florida","Jeff Prystajko, Metropolitan Business Association, Central Florida LGBT Chamber of Commerce",Annually,"First parade sponsored in 2005, 175,000 attendees in 2018, week-long schedule of activities, parade in Lake Eola Park, recent online fundraiser for LGBTQ charities",,,,,,,,,,,,,,,,,Come Out With Pride
Connecticut LGBTQ Film Festival,1988,"Longest running film festival in Connecticut, focus on LGBTQ+ films, founded as Connecticut Gay & Lesbian Film Festival in 1988, renamed in 2014","Hartford, Connecticut","William Mann, Terri Reid",Annually in June,"Renamed to reflect evolving use of the term ""queer"", struggled initially but grew in popularity, virtual screenings in 2020, next festival planned for June 2021",,,,,,,,,,,,,,,,,Connecticut LGBTQ Film Festival
Copenhagen Pride,1996,"Denmark's largest annual Human Rights festival focused on LGBT issues, combines political issues with concerts, films, and a parade, City Hall Square as focal point, won bid to host WorldPride in 2021",Copenhagen,"Organizers, supporters",Annually in August,"Began in 1996 during European Capital of Culture, evolved from Mermaid Pride to Copenhagen Pride, held annually in August, hosted World Outgames in 2009, first Winter Pride in 2015",,,,,,,,,,,,,,,,,Copenhagen Pride
D.C. Black Pride,1991,"First official black gay pride event in the US, one of two recognized festivals for African-American LGBT community, attracts over 40,000 attendees, inspired similar events in other cities","Washington, D.C., USA",Center for Black Equity,Annually on Memorial Day weekend,"Established in 1991, celebrates black LGBT community, significant event in D.C., influenced by progressive LGBT laws in the city",,,,,,,,,,,,,,,,,D.C. Black Pride
Dallas Black Pride,1996,"Celebrates emerging black LGBT community, held in conjunction with State Fair of Texas, State Fair Classic, largest black gay pride event in Texas, Juneteenth Weekend kickoff event",Dallas-Fort Worth Metroplex,"Dallas Her Pride, local community",Annually in fall,"Established in 1996, coincides with State Fair events, attracts 15,000 participants, empowering the black LGBT community in the region",,,,,,,,,,,,,,,,,Dallas Black Pride
Club Skirts Dinah Shore Weekend,1986,"Largest lesbian event globally, five-day music festival, pool parties, live concerts, comedy shows, attracts 15,000+ participants, sponsors include Miller Beer, MTV/LOGO Networks, here! TV, Sirius Radio, Showtime, O.B. Tampons, Shake Weight, Bacardi","Palm Springs, California, USA",Club Skirts,Annually in spring,"Named after Dinah Shore, coincided with ANA Inspiration tournament, unofficial events since 1986, benefits for Human Rights Campaign and AIDS Service Foundation",,,,,,,,,,,,,,,,,Dinah Shore Weekend
Doncaster Pride,2007,"South Yorkshire's biggest Gay Pride event, fast-growing in the UK, first event in 2007, attracted 1,500 people, audience close to 20,000, funded by local businesses and organizations, activities for all ages, float parade",Doncaster,"Sheridan Smith, local businesses, award foundations, charitable organizations, public donations",Annually,"First event in 2007, rapid growth, audience figures increased, held in Sir Nigel Gresley Square, variety of activities, two stages, float parade, over 3,000 participants in 2018 parade, 8 hours of entertainment",,,,,,,,,,,,,,,,,Doncaster Pride
Dublin LGBTQ+ Pride Festival,1974,"Largest LGBTQ+ pride festival in Ireland, culminates in a pride parade, expanded to a ten-day festival, volunteer-run organization with some paid consultants","Dublin, Ireland","Volunteers, paid consultants",Annually in June,"First public Gay rights demo in Dublin in 1974, first significant Pride Week in Ireland in 1980, first pride parade in 1983, aims for LGBTQ+ community improvement",,,,,,,,,,,,,,,,,Dublin Pride
East-Central Minnesota Pride,Not specified,"Celebrates LGBTQ residents in rural East-Central Minnesota, one of two rural pride events in the U.S., held first weekend in June","Pine City, Minnesota, United States",Local community members,Annually in June,"Held in Pine City, Minnesota, coordinates: 45°49′38″N 92°58′9″W, one of two rural prides in the U.S., annual celebration for LGBTQ individuals in the area",,,,,,,,,,,,,,,,,East-Central Minnesota Pride
Easter in Berlin,1975,"Biggest Leather and Fetish event in Europe, organized by BLF, German Mr Leather titleholder event, attracts thousands of participants worldwide",Berlin,Berlin Leder und Fetisch e.V.,Annually at Easter,"Founded in 1975, annual event at Easter, attracts Leather, Rubber, Sportswear, Skin, and Uniform lovers, Folsom Europe also held in the same neighborhood",,,,,,,,,,,,,,,,,Easter in Berlin
Equality Parade,2001,"Largest gay pride parade in Central and Eastern Europe, promotes social equality, draws attention to LGBT community issues",Warsaw,Szymon Niemiec,Annually in May-June,"First successful parade in 2001, member of EPOA and InterPride, support growing in Poland","20,000 (2006), 45,000 (2018), 50,000 (2019)",,,,,,,,,,,,,,,,Equality Parade
EuroGames,Not specified,"LGBT sporting event in Europe, open to all, organized by European Gay and Lesbian Sport Federation",Europe,European Gay and Lesbian Sport Federation member clubs,Two-day event,"Similar to Gay Games, inclusive sports event for all, regardless of sex, age, sexual identity, or physical ability",,,,,,,,,,,,,,,,,EuroGames
European Lesbian* Conference,2017,"International lesbian-focused seminar, one of the largest events, organized independently from ILGA, aims to empower and increase visibility of lesbian issues","Vienna, Austria","Silvia Casalino, Anastasia Danilova, Mariella Müller, Alice Coffin, Olena Shevchenko, Maria von Känel",Annually,"First event held in October 2017, organized by co-founders, NGO officially registered in Vienna, chaired by Silvia Casalino and Mariella Müller, aims to address lesbophobia and empower lesbian community",,,,,,,,,,,,,,,,,European Lesbian_ Conference
EuroPride,1992,"Pan-European event celebrating LGBTI pride, month-long celebration with various events, culminates in pride parade, live music, human rights conference, and AIDS memorial vigil",Europe,"Organizers, host cities",Rotating host cities,"Inaugurated in London in 1992, Berlin hosted in 1993, Amsterdam faced financial issues in 1994, Copenhagen in 1996, Paris in 1997, Stockholm in 1998, London canceled in 1999, WorldPride in 2000, Rome in 2000, Vienna in 2001, Köln in 2002",,,,,,,,,,,,,,,,,EuroPride
Folsom Europe,2003,"Annual BDSM and leather subculture street fair in Berlin, Europe's biggest gay fetish event, inspired by Folsom Street Fair in San Francisco, hosts German Titleholders' Conference, fundraising for charitable organizations","Berlin, Germany","Berlin Leder und Fetisch e.V., Folsom Street Fair",Annually in September,"Established in 2003, brings non-profit leather festival concept to Europe, main area in Schöneberg, hosts German Titleholders' Conference, fundraising by Order of the Sisters of Perpetual Indulgence",,,,,,,,,,,,,,,,,Folsom Europe
Gay Days at Walt Disney World,1991,"LGBTQ+ individuals, families, friends, and supporters visit Disney World on the first Saturday in June, event started in 1991 with 3,000 attendees, grew to 150,000 by 2010","Walt Disney World, Florida","LGBTQ+ community, event organizers",Annually in June,"First event in 1991, visibility for LGBTQ+ community, reclaiming childhood joys, growth in attendance",,"Grew from 3,000 to 150,000 attendees","Criticized by religious groups, Southern Baptist Convention boycott, Florida Family Association opposition","Provides safe space, visibility, and sense of community for LGBTQ+ families and individuals",,,,,,,,,,,,,Gay Days at Walt Disney World
Gay Film Nights,2004,"LGBT film festival showcasing culture and cinema, initiated dialogue with society, free entry, mainstream English-language film focus","Cluj-Napoca, Romania",Be An Angel,Annually,"First organized in 2004, features Miss Travesty Romania contest, Mister Gay Romania, Gay Prize Gala, held in November 2016, 2014, 2009",,,,,,,,,,,,,,,,,Gay Film Nights
Gay Games,1982,"Promotes acceptance of sexual diversity, inclusive sport and cultural event for LGBTQ individuals",Worldwide,"Tom Waddell, Brenda Young, others",Every 4 years,"Founded as the Gay Olympics in San Francisco, California, in 1982, aims to promote inclusion, personal growth, and international participation, open to all without qualifying standards, 1994 event in NYC had over 10,000 athletes, Federation of Gay Games founded in 1982 to sanction the event",,,,,,,,,,,,,,,,,Gay Games
GFEST - Gaywise FESTival,2007,"Premier LGBT annual cross-arts festival in London, platform for LGBTQ artists, organized by Wise Thoughts, features various art forms, online events in 2020","London, UK",Wise Thoughts,Annually in November,"Launched in 2007, showcases LGBTQ artists, includes visual art, theatre, dance, and short films, online events in 2020 due to COVID-19",,,,,,,,,,,,,,,,,GFest – gayWise LGBT Arts Festival
Hamburg Pride (CSD Hamburg),1980,"Celebrates LGBTQ community, part of international pride festivities, aims for equal rights, includes various events like Pride Night, Parade, and Street Festival",Hamburg,"LGBTQ community, organizers",Annually in July,"Held annually since 1980, part of Christopher Street Day celebrations, hosts Pride Night, Parade, and Street Festival, other Pride events in Hamburg throughout the year",,,,,,,,,,,,,,,,,Hamburg Pride
Helsinki Pride,1975,"One of the biggest public events in Finland, week-long event with various activities, culminates in a parade, attendance of 100,000 in 2018","Helsinki, Finland",Seta (Finnish LGBT rights organization),Annually in June,"Established in 1975, tradition of ""Freedom Day,"" held annually in Helsinki since 2006, disrupted by tear gas attack in 2010",,,,,,,,,,,,,,,,,Helsinki Pride
Heritage of Pride (NYC Pride),1984,"Produces official NYC LGBTQIA+ Pride Week events, took over from Christopher Street Liberation Day Committee, responsible for Pride festival and rally, first march in 1970, global expansion of Pride events","New York City, New York, USA","LGBTQIA+ community, volunteers, paid staff",Annually in June,"First march brought attention to Stonewall Riots, Pride chapters formed in US cities, Pride London in 1972, events on six continents, additional events in outer boroughs, volunteer-led organization, elected co-chairs, full-time staff since 2002",,,,,,,,,,,,,,,,,Heritage of Pride
Hong Kong Lesbian & Gay Film Festival,1989,"Oldest LGBT film festival in Asia, promotes equal opportunities and eliminates discrimination, presents contemporary and historical films on LGBT topics",Hong Kong,"Edward Lam, Hong Kong Arts Centre",Annually in September,"Founded in 1989, annual screenings each September, known as Hong Kong Tongzhi Film Festival in Chinese, resurrected in 2000 by Wouter Barendrecht and Ray Yeung",,,,,,,,,,,,,,,,,Hong Kong Lesbian & Gay Film Festival
Hong Kong Pride Parade,2008,"Annual march supporting LGBT rights, first held in 2008, route from Victoria Park to Tamar Park or Edinburgh Place, key organizations include Women Coalition of HKSAR, Rainbow of Hong Kong, Nu Tong Xue She, and Gay Harmony",Hong Kong,"Women Coalition of HKSAR, Rainbow of Hong Kong, Nu Tong Xue She, Gay Harmony",Annually,"First formal parade in 2008, subsequent parades in 2009, 2011, 2012, and 2013, held to advocate for expanded protection against discrimination for LGBT individuals in Hong Kong",,,,,,,,,,,,,,,,,Hong Kong Pride Parade
Houston Gay Pride Parade,1979,"Celebrates LGBTQ+ community, commemorates Stonewall Riots, shifted to nighttime parade in 1997, record attendance in 2015, impacted by COVID-19 in 2020","Houston, Texas",Annise Parker,Annually in June,"Started in Montrose, moved to downtown Houston in 2015 for larger festival, virtual rally in 2020 due to pandemic",,,,,,,,,,,,,,,,,Houston Pride
,,,,,,,,,,,"Founded in 1997, CEO arrested in 2015, ad listing service for male escorts, non-judgmental space for male-male companionship","First ceremony in 2006, held at the Roxy in NYC, sponsored by Rentboy.com","Organized by Rentboy.com, traveling cabaret",,,,,,,,,,Hustlaball
IndigNation,2005,"Singapore's month-long LGBTQ pride season, started in 2005, coincided with the republic's 40th National Day, filled gap left by Nation parties ban, supported by Fridae.com, featured talks, workshops, and events, fundraising galas for community projects",Singapore,"Fridae.com, community members",Annually in August,"Started in 2005, coincided with Singapore's 40th National Day, supported by Fridae.com, fundraising galas for community projects, establishment of Rascals Prize, focus on LGBTQ issues and rights",,,,,,,,,,,,,,,,,IndigNation
Indy Pride Festival,Over a decade,"Largest LGBT pride event in Indiana, organized by Indy Pride, Inc., attracts over 95,000 attendees, honors Stonewall Riots, week-long celebration with Parade and Festival",Indianapolis,"Indy Pride, Inc.",Annually in June,"Formerly known as Circle City IN Pride, week of events leading up to Parade and Festival, aims to bring visibility to the LGBTQ community in Indianapolis",,,,,,,,,,,,,,,,,Indy Pride Festival
"International Day Against Homophobia, Biphobia, and Transphobia",2004,"Aims to raise awareness of LGBT rights violations, commemorates WHO's declassification of homosexuality as a mental disorder in 1990, founded by IDAHO Committee",Global,"IDAHO Committee, International Lesbian and Gay Association, International Gay and Lesbian Human Rights Commission, World Congress of LGBT Jews, Coalition of African Lesbians",Annually on May 17,"Conceived in 2004, first observed in 2005, activities in various countries, added transphobia in 2009, petition supported by 300+ NGOs, France first to remove transgender issues from mental illness list in 2009",,,,,,,,,,,,,,,,,"International Day Against Homophobia, Transphobia and Biphobia"
"International Day Against Homophobia, Biphobia, and Transphobia",2004,"Aims to raise awareness of LGBT rights violations, commemorates WHO's declassification of homosexuality as a mental disorder in 1990, founded by IDAHO Committee",Global,"IDAHO Committee, International Lesbian and Gay Association, International Gay and Lesbian Human Rights Commission, World Congress of LGBT Jews, Coalition of African Lesbians",Annually on May 17,"Conceived in 2004, first observed in 2005, activities in various countries, added transphobia in 2009, petition supported by 300+ NGOs, France first to remove transgender issues from mental illness list in 2009",,,,,,,,,,,,,,,,,International Day Against Homophobia
Side by Side Lesbian and Gay International Film Festival,2008,"Explores LGBTQ+ issues through art cinema, aims to create open cultural space for dialogue, founded by Manny de Guerre, staff includes Manny de Guerre, Gulya Sultanova, and Tanya Shmankevich","Saint Petersburg, Russia","Manny de Guerre, Gulya Sultanova, Tanya Shmankevich",Annually in autumn,"Held annually since 2008, special events throughout the year, screenings and discussions in various parts of Russia, promotes dialogue against discrimination based on sex, gender identity, and sexual orientation",,,,,,,,,,,,,,,,,International Gay and Lesbian Film Festival 芦Side by Side禄
International Mr. Leather,1979,"International conference and contest of leathermen, multi-day event, recognized distinction, informal qualification process, forerunner ""Mr. Gold Coast"" contest, first black titleholder in 1984, inspired Living in Leather conference","Chicago, Illinois","Chuck Renslow, Dom Orejudos, Ron Moore, Steve Maidhof, Cookie Andrews-Hunt, Wayne Gloege, Billy Jefferson, Jan Lyon, George Nelson, Vik Stump",Annually in May,"Contest held annually since 1979, activities include speakers, socials, themed dance parties, leather market, qualification through feeder competitions or sponsorship, inspired Living in Leather conference in 1986",,,,,,,,,,,,,,,,,International Mister Leather
International Ms. Leather,1987,"Leather subculture fetish convention for women, includes Miss Bootblack contest, first formal convention in 1987, founded by Judy Tallwing McCarthey",California,"Judy Tallwing McCarthey, Audrey Joseph, Amy Marie Meeks",Annually,"First formal convention in 1987, Miss Bootblack contest added in 1999, moved to San Jose in 2014, foundation established in 2015, focus on community leadership, various awards received",,,,,,,,,,,,,,,,,International Ms. Leather
KASHISH Mumbai International Queer Film Festival,2010,"Screens LGBT films from India and worldwide, top five LGBT film festival, post-Section 377 decriminalization, promotes visibility and acceptance of LGBT community","Mumbai, India","Local organizers, supporters",Annually,"Founded in 2010, screens diverse LGBT films, follows Section 377 decriminalization, aims for mainstreaming and acceptance of LGBT individuals",,,,,,,,,,,,,,,,,KASHISH Mumbai International Queer Film Festival
Kolkata Rainbow Pride Walk,1999,"Oldest pride walk in India and South Asia, organized by Kolkata Rainbow Pride Festival, political statement for equality, tolerance, love, and solidarity, participants support various rights-based movements","Kolkata, India",Kolkata Rainbow Pride Festival,Annually,"First march in 1999, known as The Friendship Walk, initiated by Owais Khan, aimed to highlight LGBTQ+ issues, started with 15 participants, split into two groups during the walk",,,,,,,,,,,,,,,,,Kolkata Rainbow Pride Walk
Kreuzberg Pride (Transgenialer CSD),1998,"Parade and festival celebrating LGBTQ+ community and allies, held in Kreuzberg, Berlin, coincides with Berlin Pride and Gay Night at the Zoo, part of Berlin's diverse LGBTQ+ festival scene","Kreuzberg, Berlin, Germany","LGBTQ+ community, allies",Annually in June,"Held annually from 1998 to 2013, coincides with other LGBTQ+ events in Berlin, contributes to the city's vibrant LGBTQ+ festival calendar",,,,,,,,,,,,,,,,,Kreuzberg Pride
Leeds Pride,2006,"Annual LGBT Pride celebration, supported by city council and local businesses, attendance growth over the years, significant economic impact, special decorations along parade route","Leeds, West Yorkshire, England","City council, local businesses",Annually in August,"Replaced previous Pride events, attendance growth, name change to Leeds Pride, economic impact of £3.8 million, special decorations on buildings, Freedom Bridge, steps, telephone kiosk",,,,,,,,"6,500 (2006), 12,000 (2009), 40,000 (10th year), 100+ floats (2018)",Millennium Square to Lower Briggate,Approximately £3.8 million,"Rainbow flag decorations on buildings, Freedom Bridge, steps, telephone kiosk, Rainbow Plaques trail by Leeds Civic Trust",,,,,,Leeds Pride
Lesbian and Gay City Festival,1993,"Europe's largest street festival for lesbians and gays, held in the gay area around Nollendorfplatz in Schöneberg, organized by ""Regenbogenfonds e. V."", features seven festival areas","Berlin, Germany","Bar tenants, ""Regenbogenfonds e. V.""",Annually in June,"First festival in 1993, initially organized in Motzstraße, expanded to multiple streets and themes, on hiatus in 2020, set to return in 2021",,,,,,,,,,,,,,,,,Lesbian and Gay City Festival
