Location,Impact,Construction Details,Cause of Failure,Historical Significance,Current Status,Casualties,Date,Coordinates,Ownership Details,Funding Sources,Timeline of Events,Response and Investigation,Operational Capacity,Date of Completion,trigger
"Los Frailes mine, near Aznalcóllar, Seville Province, Andalusia, Spain",Cleanup operation took three years at an estimated cost of €240 million,"Holding dam burst at the Los Frailes mine, releasing 4–5 million cubic meters of mine tailings containing heavy metals","Dam failure led to release of acidic tailings into River Agrio and River Guadiamar, main water source for Doñana National Park","Dam failure impacted Doñana National Park, a UNESCO World Heritage Site",Cleanup operation completed after three years at a cost of €240 million,Not specified,"April 25, 1998",,,,,,,,Do帽ana disaster
"Edenville Dam, Mid Michigan, United States","Major flooding in Midland County, including the city of Midland","Earthen embankment dam at the confluence of the Tittabawassee River and the Tobacco River, forming Wixom Lake, built in 1924, 54 feet high, 6,600 feet long at crest, equipped with two 2.4 MW turbines","Breached in May 2020 following heavy rains, causing major flooding in Midland County","Built by Frank Isaac Wixom, privately owned by Boyce Hydro Power, license terminated in 2018","Dam breached, federal license terminated, Michigan EGLE oversight",,,,,,,,,,Edenville Dam
"Edersee Dam, Hesse, Germany","Massive flood wave, widespread destruction, rebuilt by forced labor","Hydroelectric dam spanning the Eder river, constructed between 1908 and 1914, rebuilt after being breached in World War II","Dam breached by Allied bombs during World War II, rebuilt during the war","Dam breached during World War II, rebuilt quickly, third-largest reservoir in Germany","Generates hydroelectric power, regulates water levels, major recreational facility",Approximately 70 casualties,,,,,,,,,Edersee Dam
"Sukagawa City, Fukushima Prefecture, Japan","5 houses washed away, bridge disabled, roads blocked, 4 bodies discovered","Earth-fill embankment dam on the Ebana River, primary purpose was irrigation","Dam failed after 2011 Tōhoku earthquake, reservoir overtopped dam's crest","Construction halted due to World War II, failed after earthquake","Dam inaccessible for inspection, breach at tallest section, improper foundation preparation, severe slope failure in auxiliary dam",8 deaths,"March 11, 2011",,,,,,,,Fujinuma Dam
"Valle di Scalve, Province of Bergamo, Italy","Widespread flooding, villages flooded, 4,500,000 m3 of water released","Multiple arch buttress dam on the Gleno Creek, built between 1916 and 1923 for hydroelectric power, 3,728 kW installed capacity","Middle section of the dam collapsed, causing widespread flooding, at least 356 deaths","Proposed and constructed by Viganò company, change in design due to lack of funding","Dam collapsed, causing significant loss of life and property damage",At least 356 deaths,"December 1, 1923",,,,,,,,Gleno Dam
"Dale Dyke Dam, Bradfield Dale near Low Bradfield, Sheffield, England","Over 600 houses damaged or destroyed, reforms in engineering practice","Constructed by the Sheffield Waterworks Company in the Loxley Valley, 3 million cubic meters of water released","Dam failure during first filling, cause of crack in embankment unknown","Led to reforms in engineering practice, standards for large-scale structures",Dam rebuilt in 1875,At least 240 deaths,"March 11, 1864",,,,,,,,Great Sheffield Flood
"Gusau, Zamfara State, Nigeria","Farmland devastated, livestock killed, bridge destroyed, temporary shelter provided","Holds a reservoir on the Sokoto River, supplies water to Gusau city and neighboring communities","Dam collapsed after heavy flooding, insufficient to meet local needs in times of drought","Requests for assistance from Federal Government, mismanagement allegations, heavy rainfall caused collapse","Dam collapsed, 700 people temporarily sheltered, no significant repairs or improvements mentioned","40 deaths, 500 homes destroyed, 1,000 people displaced","September 30, 2006",,,,,,,,Gusau Dam
"Missouri River, near Helena, Montana, United States","Reservoir formed is Hauser Lake, 25 miles long, surface area of 3,800 acres, storage capacity of 98,000 acre-feet","Original dam built between 1905 and 1907, failed in 1908, second dam opened in 1911, current dam 700 feet long and 80 feet high",Original dam failure caused severe flooding and damage downstream,"Named after Samuel T. Hauser, former Territorial Governor of Montana","Dam currently generates 17 MW of electricity, considered a ""run-of-the-river"" dam",Not specified,,,,,,,,,Hauser Dam
"Hope Mills, North Carolina, USA","Lake drained in 2010, current dam completed in 2018, impounded water earlier than planned","Concrete gravity dam on Little Rockfish Creek, created Hope Mills Lake, first dam built in 1839, second dam in 1924, current dam completed in early 2018","First dam failed in 1923 due to flooding, second dam breached in 2010, current dam developed a leak in 2010","Dam played a historical role in powering cotton mills, multiple dam failures and repairs","Current dam completed in 2018, operational",,,,,,,,,,Hope Mills Dam
"Johnstown, Pennsylvania, United States","Legal changes to strict liability, American Red Cross relief effort","South Fork Dam on the south fork of the Little Conemaugh River, 14.55 million cubic meters of water released","Catastrophic failure after heavy rainfall, 2,209 people killed, $17 million in damages","Legal changes to strict liability, American Red Cross relief effort","Dam no longer exists, legal changes implemented","2,209 deaths, $17 million in damages","May 31, 1889",,,,,,,,Johnstown flood
"Ka Loko Reservoir, Kauai, Hawaii","Homes destroyed, flood raced downhill through a ravine","Earthen dam, located at 22°10′39″N 159°22′39″W﻿ / ﻿22.17750°N 159.37750°W﻿ / 22.17750; -159.37750","Dam burst due to heavy rain, flood destroyed homes, killed 7 people, including a toddler and a pregnant woman","Dam burst led to indictments and civil cases, lack of dam inspections and maintenance","Settlement reached in civil cases, owner indicted for manslaughter and reckless endangerment",7 deaths,"March 14, 2006",,,,,,,,Ka Loko Dam
"Kantale, Trincomalee District, Sri Lanka","Destruction of over 1,600 houses, 2,000 acres of paddy fields, affecting over 8,000 families","Large embankment dam, 14,000 ft long, over 50 ft high",Dam breach leading to over 120 deaths,Built by King Aggabodhi II and developed by King Parakramabahu the Great,Reconstructed after the breach,Over 120 deaths,"April 20, 1986",,,,,,,,Kantale Dam
"Stephens County, Georgia, United States","Dam never rebuilt, memorial to the victims at Toccoa Falls","Earthen embankment dam, originally a rock crib dam in 1899, raised and modified multiple times, 38 feet high, 400 feet long, 20 feet wide","Collapse due to heavy rainfall, 39 deaths, $2.8 million in damage","Historical hydroelectric power plant site, recreational lake","Dam not rebuilt, memorial in place","39 deaths, $2.8 million in damage","November 6, 1977",,,,,,,,Kelly Barnes Dam
"Koshi Barrage, Nepal","Miles of fertile farmland covered with river sand, disruption of rural economy, annual floods affecting 21,000 km2 of land","Sluice across the Koshi river with 56 gates, built between 1958 and 1962 by Joseph and Company Limited, India","Eastern embankments collapsed in August 2008, causing widespread flooding and displacement","Known as the ""Sorrow of Bihar,"" affects Terai region, home to Gangetic Dolphin, Siberian birds, popular tourist spot","Repaired and operational, continues to be a key transportation route between Saptari and Sunsari districts","53,800 Nepalese affected, 3 million people homeless in Bihar, India",,,,,,,,,Koshi Barrage
"Kyiv, Ukrainian SSR, Soviet Union","Hit Kurenivka neighborhood, residential area, tram depot, industrial buildings, cemetery, and traffic","Dam securing loam pulp dump of a brick factory near Babi Yar ravine collapsed after rain, releasing pulp sludge, mud, water, and human remains","Mudslide caused by dam collapse, dumped mud, water, and human remains into Kyiv streets","Soviet authorities suppressed information, claimed 145 deaths, forbade memorial events","Recovery operations led by Soviet Army, events censored by Soviet Government","Approximately 1,500 deaths","March 13, 1961",,,,,,,,Kurenivka mudslide
"Kyzyl-Agash, Almaty Province, Kazakhstan","Torrents of water 2 meters high, washed away a bridge, emergency services provided aid and shelter",,"Dam burst due to torrential rain and snowmelt, flooding the village",,,"At least 43 killed, 211 injured, over 1000 evacuated","March 11, 2010",,,,,"Investigation initiated, criminal probe ordered by President Nazarbayev",,,Kyzyl-Agash Dam
"Göksu River, Adana Province, Turkey","Downstream communities received proper warning, no additional casualties","Gravity dam on the Göksu River, primary purpose is hydroelectric power generation, construction began in 2009","Dam's diversion tunnel seal broke during impoundment, 97,000,000 m3 of water flooded downstream area","Dam failure resulted in worker fatalities, no civilian casualties","Dam completed in 2012, operational for hydroelectric power generation",10 workers killed,"February 24, 2012",,,,,,,,K枚pr眉 Dam
"Lake Delton, Sauk County, Wisconsin","Lake left empty, refilled after repairs, popular tourist attraction in Wisconsin Dells area","Man-made freshwater lake formed in 1927, part of a dike wall eroded due to floods in 2008","County highway portion eroded, causing lake to empty, major repairs completed by March 2009","Popular tourist attraction, site of Tommy Bartlett's Thrill Show",Completely refilled and usable since Memorial Day weekend of 2009,,,,,,,,,,Lake Delton
"Johnstown, Pennsylvania, United States","9 homes destroyed, 19 damaged, $5.3 million in damages","Earthen embankment dam, largest reservoir of seven dams to fail during the Johnstown Flood of 1977","Dam failure during heavy rain, 101 million US gallons of water flooded downstream Tanneryville, 40 fatalities","Part of the Johnstown Water Company's infrastructure, abandoned Laurel Run reservoir No. 1 in 1910","Dam failed, no longer exists",40 deaths,"July 20, 1977",,,,,,,,Laurel Run Dam
"Rocky Mountain National Park, Colorado, United States","Flash flood, killed campers, damaged Estes Park and downstream areas","Originally a natural lake, dam built in 1903 by farmers from Loveland, elevation of 11,000 feet","Dam failure due to deterioration of lead caulking on outlet pipe joint, internal erosion of earth-fill dam","Lack of inspection and repairs, issues reported in previous inspections","Dam no longer exists, remote and difficult location led to lapses in maintenance","3 deaths, $31 million in damages","July 15, 1982",,,,,,,,Lawn Lake Dam
"Reyran River, north of Fréjus, French Riviera","Collapsed, resulting in a flood, signs of imminent collapse observed in November 1959","Arch dam, doubly curved equal angle arch type, variable radius, 222m width, 66m height, 6.78m base thickness, 1.5m rim thickness","Tectonic fault in impermeable rock base, inadequate survey, possible contribution from nearby road-building works","Led by engineer André Coyne, construction cost 580 million francs, funded by Var département","Dam collapsed, no longer exists",423 deaths,"December 2, 1959",,,,,,,,Malpasset dam
"Mariana, Minas Gerais, Brazil","Largest recorded damage, 43.7 million cubic meters of mine tailings released, toxic brown mudflow polluted Doce River and Atlantic Ocean",Fundão tailings dam at the Germano iron ore mine of the Samarco Mariana Mining Complex,"Catastrophic failure, flooding downstream villages of Bento Rodrigues and Paracatu de Baixo, pollutants spread along 668 km of watercourses","Humanitarian crisis, extensive litigation, government sanctions, charges filed against executives","Officially under investigation, unclear total impact, ongoing controversy, owner Samarco subject to legal actions",19 deaths,"November 5, 2015",,,,,,,,Mariana dam disaster
"Martin County, Kentucky, United States","Polluted hundreds of miles of rivers, one of the worst environmental disasters in the southeastern US","Coal slurry impoundment owned by Massey Energy, bottom broke into an abandoned underground mine below","Bottom of impoundment broke, releasing 306 million US gallons of slurry containing arsenic and mercury","EPA ordered cleanup and restoration, ongoing water quality issues, new regulations implemented",,"Contaminated water supply for over 27,000 residents, killed all aquatic life in affected areas","October 11, 2000",,,,,,,,Martin County coal slurry spill
"Alton, New Hampshire, United States","Damage to several homes, undermined section of Route 140","Earthen dam constructed by the Bergerons, 465 feet long, 36 feet high, expanded Meadow Pond to 45 acres","Dam failure due to a three-foot hole opening, releasing 92 million gallons of water",Fatal flood caused by dam failure,"Dam collapsed, fatal flood occurred","1 fatality, 2 injuries","March 13, 1996",,,,,,,,Meadow Pond Dam
"Mount Polley, British Columbia, Canada","Environmental damage, contamination of water bodies","Tailings dam breach at the Mount Polley mine, spill of mine tailings into nearby lake and creek","Dam breach caused by tailings spill, environmental contamination","Significant environmental impact, mining industry scrutiny",Ongoing environmental remediation and monitoring,,2014,,,,,,,,Mount Polley
"Möhne Reservoir, North Rhine-Westphalia, Germany","Significant floodwave, over 800 victims in Neheim-Hüsten, impact on German industry and civil population","Largest dam in Europe, built between 1908-1913, 135 million cubic meters of water storage","Dam breached by RAF Lancaster Bombers during Operation Chastise, hole of 77m x 22m blown into the dam","Largest dam in Europe at the time, built to control floods, regulate water levels, generate hydropower","Dam quickly repaired by Organisation Todt, impact on German industry and civil population significant","At least 1,579 deaths, including 1,026 foreign forced laborers","May 16-17, 1943",,,,,,,,M枚hne Dam
"Opuha Dam, Opuha River, South Canterbury, New Zealand","Creation of Lake Opuha, installation of aeration system in 2003","Water storage for farming irrigation, 7.7 MW electricity generation, Important Bird Area supporting black-billed gull colonies","Dam failure during construction on February 6, 1997 due to heavy rain, completed in 1998","Identified as an Important Bird Area, supports endangered bird species","Completed in 1998, ongoing maintenance and aeration system in place",,,,,,,,,,Opuha Dam
"Panshet Dam, Pune, India","Massive flooding in Pune, estimated 1,000 deaths, popular picnic spot and water sports center","Dam on the Ambi river, part of Mutha River, constructed in late 1950s for irrigation, burst due to absence of reinforced cement concrete strengthening in the conduit","Dam wall burst, plain unreinforced concrete blocks used, causing massive flooding in Pune, approximately 1,000 deaths","Approximately 1,000 deaths, significant impact on Pune","Dam burst in 1961, remains a popular tourist spot and water sports center","Approximately 1,000 deaths","July 12, 1961",,,,,,,,Panshet Dam
"Solai, Nakuru County, Kenya","Massive flooding, part of a larger flood event affecting nearly a million people in the region","Privately owned embankment dam, part of a commercial rose farm, capacity of 200,000 cubic meters","Dam burst amid heavy rains, killing at least 48 people",Under investigation for legality and safety standards,"Dam burst, investigation ongoing",At least 48 deaths,"May 9, 2018",,,,,,,,Patel Dam
"Saguenay–Lac-Saint-Jean region, Quebec, Canada","CA$1.5 billion in damages, 488 homes destroyed, 1,230 damaged, 10 additional deaths from mudslides","Geological graben region, two weeks of constant rain, over 8 feet of rainfall, poorly maintained dikes and dams","Biggest overland flood in 20th-century Canadian history, flash floods due to engorged soils and rivers","Poor maintenance of protective infrastructure, symbol of survival in a small white house","Preserved as a historical park and museum, new sediments covering contaminated river bottoms","Officially ten deaths, 16,000 people evacuated","July 19-20, 1996",,,,,,,,Saguenay Flood
"Yenisei River, near Sayanogorsk, Khakassia, Russia",,"Largest power plant in Russia, 6,400 MW capacity, arch-gravity dam 242 meters high",,"Largest power plant in Russia, 9th largest hydroelectric plant in the world",,,,,,,,,"6,400 MW, 23.5 TWh annual production",,Sayano-Shushenskaya Dam
"Sempor Dam, District Gombong, Kebumen, Central Java Province, Indonesia","Widespread damage, irrigation source for paddy fields, flood control, tourist attraction","Embankment dam on the Sempor River, construction started in 1967, 1 MW hydroelectric power station","Dam failure due to overtopping from flash floods, 160 deaths in Magelang and surrounding towns","Initial failure in 1967, reconstruction completed in 1978, power station commissioned in 1980","Dam completed and operational, serves irrigation and power generation purposes",160 deaths,"November 29, 1967",,,,,,,,Sempor Dam
"Shadi Kaur River, Balochistan, Pakistan",Villagers drowned and dragged into the Arabian Sea,"Dam constructed in 2003, 485 meters long, built at a cost of 45 million Pakistani Rupees",Dam burst due to heavy flooding from heavy rainfall,Dam provided irrigation for nearby farms,"Dam burst, emergency search and rescue operations conducted by the Pakistani military","Approximately 70 deaths, 1,200 people rescued","February 10, 2005",,,,,,,,Shakidor Dam
"Shihgang Dam, Taichung, Taiwan","Dam no longer used for flood control, embankment cofferdam built to prevent water flow, collapsed section retained as a memorial","Concrete gravity barrage dam built from 1974 to 1977, 35.2 meters high, 357 meters long, original capacity of 3,380,000 cubic meters","Dam heavily damaged in the 921 earthquake of 1999, collapse of northern end","Dam heavily damaged in 1999 earthquake, reduced storage capacity, important source of agricultural water","Dam no longer used for flood control, remains an important source of agricultural water",,,,,,,,,,Shihgang Dam
"Silver Lake Dam, Woodridge, New York, United States","Dam regulates Sandburg Creek, created 85-acre Silver Lake, attraction for visitors, listed on National Register of Historic Places","Stone structure built in the 1840s, 176 feet long, 5 feet wide, 13 feet high, centrally located spillway, two 15-inch cast-iron waste pipes","Leak due to deteriorating condition, repair work initiated in the early 21st century","Listed on National Register of Historic Places, attraction for visitors to Jewish summer resorts",Repair work initiated due to a leak in the dam,,,,,,,,,,Silver Lake Dam
"Situ Gintung, Cirendeu, South Tangerang, Indonesia","Flooding, destruction of cars, houses, and infrastructure, standing water up to 2.5 meters deep","Earth dam built by Dutch colonial authorities in 1933, up to 16 meters high, reservoir held 2,000,000 cubic meters of water","Dam failure due to overtopping, erosion, and breach caused by heavy rain, inadequate spillway gate","Complaints about leaks, breach in November 2008, lack of maintenance","Dam failed, ongoing maintenance and safety measures likely implemented",At least 100 deaths,"March 27, 2009",,,,,,,,Situ Gintung Dam
"Boyd County and Holt County, Nebraska","Heavy flooding downstream, initial construction completed in 1927","Run of the river hydroelectric dam on the Niobrara River, completed in 1927, 3,698 feet long, 26 feet high, powerhouse with two generators, spillway with tainter gates",Dam failure due to heavy flooding from March 2019 North American blizzard,"Initial construction in 1927, rebuilt in 1940 after partial breach, filled with sediment over the years","Dam failed in 2019, no longer operational, heavy flooding downstream",Not specified,"March 14, 2019",,,,,,,,Spencer Dam
"San Francisquito Canyon, Los Angeles County, California, United States","Considered one of the worst American civil engineering disasters, second-greatest loss of life in California history","Concrete gravity dam built from 1924 to 1926, part of Los Angeles Aqueduct, designed by William Mulholland","Catastrophic failure due to defective soil foundation and design flaws, triggering a flood","Ended William Mulholland's career, significant loss of life and property damage","Dam no longer exists, remains a historical site of a major disaster",At least 431 deaths,"March 12-13, 1928",,,,,,,,St. Francis Dam
"San Diego County, California","Used for flood control, water storage, and recreation","Masonry arch dam, 108 feet high, 960-acre Sweetwater Reservoir, part of a system for water supply",,"Dam raised and retrofitted over the years, survived a flood in 1916","Operational, in use for its intended purposes",,,,,,,,,,Sweetwater Dam
"Lewis River, Skamania County, Washington, United States","Contributed to the development of the region, provided power supply","Earth-type hydroelectric dam, part of the Swift Reservoir",,"Significant structure in Washington state, hydroelectric power generation",,,,,,,,,,1958,Swift Dam
"Tangiwai, North Island, New Zealand","Board of inquiry findings, volcano not erupting at the time","Collapse of tephra dam holding back Mount Ruapehu's crater lake, rapid mudflow in Whangaehu River, bridge pier collapse",151 killed,"Worst rail accident in New Zealand, bridge collapse",,"Locomotive and first six carriages derailed into river, New Zealand's worst rail accident","December 24, 1953",,,,,,,,Tangiwai disaster
"Teton River, Idaho, United States","Dam cost $100 million to build, $300 million in federal claims, total damage estimates up to $2 billion","Earthen dam built by the Bureau of Reclamation, 310 feet high, 0.6 miles long, intended for hydroelectric power","Catastrophic failure during first filling, 11 human deaths, 16,000 livestock deaths","Dam not rebuilt, interest in controlling spring runoff and providing constant water supply","Dam not rebuilt, significant financial and environmental impact","11 human deaths, 16,000 livestock deaths","June 5, 1976",,,,,,,,Teton Dam
"Sank River, Gwalior, Madhya Pradesh, India",,"Constructed in 1916, 24 meters high, 1341 meters long, capacity of 4.8 million cubic meters",,Previous dam failure in 1917,"Operational, supplying water to the city",,,,,,,,,,Tigra Dam
"Ratnagiri district, Maharashtra, India","Flooding of downstream villages, houses washed away",Constructed around 2000,"Dam failure due to heavy rains, flooding downstream villages",,"Investigation ordered, rescue operations conducted","19 deaths, 4 missing","July 2, 2019",,,,,,,,Tiware Dam
"Tokwe Mukorsi Dam, Masvingo Province, Zimbabwe","Construction suspended in June 2014 due to lack of funding, resumed in May 2016, completed in December 2016, commissioned in May 2017","Concrete-face rock-fill dam on the Tokwe River, 90.3 meters tall, 1,750,000,000 m3 reservoir, 12 MW hydroelectric power station","Partial failure on downstream face in February 2014 due to heavy flooding, evacuations upstream, over 20,000 people evacuated","Dam failure led to evacuations, ongoing water settlement issue","Completed and commissioned in May 2017, water settlement ongoing",Not specified,,,,,,,,,Tokwe Mukorsi Dam
"Tous, Valencia, Spain",Notable flood event in the Valencian Community,"Dam on the river Jucar, failed due to overtopping during severe rainfall, operator unable to open spillway gate",Over 30 casualties,"Dam failed, current status unknown",,"Flood of 16,000 m3/s, known as La Pantanada",1982,,,,,,,,Tous Dam
"Vajont Dam, Erto e Casso, Italy","Massive flooding, destruction of villages and towns, dam remained almost intact","Tallest dam in the world at 262m, built between 1957 and 1960 by Società Adriatica di Elettricità","Landslide during initial filling caused megatsunami, overtopping dam and flooding Piave Valley","ENEL and Italian government dismissed warnings, concealed reports, underestimated landslide size","Dam remains intact, two-thirds of water retained behind dam","Between 1,900 and 2,500 estimated deaths","October 9, 1963",,,,,,,,Vajont Dam
"Province of Zamora, Spain","Town of Ribadelago quickly engulfed by floodwater, debris carried along, insufficient time to escape","Dam constructed over the Tera River, 33 meters high, spanning 380 meters, capacity of 7.8 million cubic meters","Failure of a section of the dam's retaining wall, releasing 7.8 million cubic meters of water","First of two fatal dam failures in Europe in 1959, part of the Montes de León mountain range","Dam failed, resulting in fatalities, managed by Hidroeléctrica Moncabril",144 residents of Ribadelago killed,"January 9, 1959",,,,,,,,Vega de Tera disaster
"Viejo River near El Hato de La Virgen, Matagalpa Department, Nicaragua","Severe damage to the dam, over-topping of spillways, nearly destroyed","Embankment dam supporting the 50 MW Carlos Fonesca Plant, completed in 1972","Dam destroyed in 1998 due to heavy rains and flooding from Hurricane Mitch, later rebuilt",Dam was rebuilt after the destruction,Operational after reconstruction,,,,,,,,,,Virgen Dam
"Wadi Qattara Dam, Libya","Severe damage to main dam, replacement of secondary dam with rock-fill dam, rehabilitation costing US$30 million","Clay-fill embankment dam on Wadi Al-Qattara, 33 km east of Benghazi, secondary dam downstream, seven drop structures","Flood in 1979 severely damaged main dam, destroyed secondary dam","Constructed after floods in 1938 and 1954, designed by Coyne et Bellier","Main dam rehabilitated, secondary dam replaced between 2000-2004",,,,,,,,,,Wadi Qattara Dam
"Zeyzoun, Hama Governorate, Syria","80km2 area engulfed, 251 homes destroyed, hundreds damaged","Embankment dam completed in 1996, impounded water from the Orontes River for irrigation, reservoir filled in winter","Dam failed due to cracks in the embankment, 80m wide hole breached, releasing a 3.3m tall wave of water","Syrian officials ignored warnings, aid sent by international organizations","Dam failed, significant casualties and property damage, aid sent by various entities","27 deaths, 2,000 displaced, over 10,000 affected","June 4, 2002",,,,,,,,Zeyzoun Dam
