Event,Date,Location,Casualties,Responsible Party,Details,Aftermath,Suspects Charged,Organizations Involved,trigger
Port-Royal RER station bombing,3 December 1996,"Paris, France",4 killed,Suspected GIA,"IED detonated on southbound tracks of Port-Royal RER station, 4 killed (2 French citizens, 1 Moroccan, 1 Canadian), no group claimed responsibility","""Vigipirate"" security plan activated, police and army patrols, spot checks nationwide, Jean-Louis Bruguière and Jean-François Ricard in charge",GIA suspected,Armed Islamic Group of Algeria,1996 Paris M茅tro bombing
2001 Angola train attack,10 August 2001,"Zenza and Dondo, Angola",Around 250 killed,UNITA (National Union for the Total Independence of Angola),"Train derailed by anti-tank mine, passengers attacked with small arms fire, 250 killed out of 500 passengers","United Nations Security Council condemned attack, UNITA claimed responsibility",,,2001 Angola train attack
2003 Mulund train bombing,13 March 2003,"Mulund railway station, Mumbai, India","10 killed, 70 injured",Unknown,"Bomb exploded in first class ladies' compartment, 10 killed, including 2 police constables, 70 injured, third in series of five bombings in eight months","Increased security measures, investigation ongoing, no suspects identified",,,2003 Mumbai train bombing
2003 Stavropol train bombing,5 December 2003,"Yessentuki, Stavropol Krai, Russia","At least 46 killed, over 170 injured",Chechen terrorists,"Suicide bombing on commuter train, explosion in Yessentuki, Chechen terrorists suspected, previous attacks on same line, Ibragim Israpilov convicted for related blast","No arrests or convictions for Yessentuki attack, Israpilov convicted for September blast, series of attacks in 2003","Ibragim Israpilov (erroneously reported), Chechen terrorists",Chechen terrorists,2003 Stavropol train bombing
2004 Madrid train bombings,11 March 2004,"Madrid, Spain","193 killed, around 2,000 injured",Al-Qaeda in Iraq,"Coordinated bombings on Madrid's Cercanías commuter train system, deadliest terrorist attack in Spain, Al-Qaeda in Iraq implicated","Controversy over government handling, miners who sold explosives arrested, political parties accused each other, nationwide protests",Spanish miners,Al-Qaeda in Iraq,2004 Madrid train bombings
2005 Jaunpur train bombing,28 July 2005,"Jaunpur, Uttar Pradesh, India","13 killed, 50 injured",Islamic extremists,"Explosion on Shramjeevi Express train, carriage destroyed near Jaunpur, RDX explosive used, 13 killed, 50 injured","Train halted, emergency services extinguished fire, eyewitnesses reported suspects, authorities suspect Islamic extremists",,,2005 Jaunpur train bombing
2006 West Bengal train disaster,20 November 2006,"West Bengal State, India","5 killed, 50-25 injured",Suspected terrorism,"Fatal explosion on train between New Jalpaiguri and Haldibari, remote location, two passenger cars damaged, cause undetermined, suspected terrorism","Officials believe up to 66 injured, train 550 km from Kolkata, investigation ongoing",,,2006 West Bengal train disaster
2007 Samjhauta Express bombing,18 February 2007,"Diwana near Panipat, India","70 killed, dozens injured","Swami Aseemanand, Abhinav Bharat, Lashkar-e-Taiba","Bombs detonated on Samjhauta Express, 70 killed, dozens injured, evidence of explosives found, intended to disrupt India-Pakistan relations","Both governments condemned attack, peace talks disrupted, suspects charged, mastermind killed, accused acquitted in 2019","Swami Aseemanand, others","Abhinav Bharat, Lashkar-e-Taiba, Arif Qasmani",2007 Samjhauta Express bombings
2009 Nevsky Express bombing,27 November 2009,"Near Bologoye, Tver Oblast, Russia","Initially reported 39 killed, 95 injured",Terrorists,"Bomb exploded under high-speed train between Moscow and Saint Petersburg, causing derailment, second bomb exploded during investigation","27 deaths confirmed by 2 December, second bomb triggered by remote mobile phone, residents of Lykoshino first responders, field hospital set up, government confirmed terrorist attack",,,2009 Nevsky Express bombing
Jnaneshwari Express train derailment,28 May 2010,"West Midnapore district, West Bengal, India","At least 148 killed, over 180 injured",Suspected Maoist Naxalites,"Train derailed due to missing track, struck by goods train, suspected sabotage by Maoist Naxalites, 13 carriages derailed, significant casualties","State police chief stated Naxalites claimed responsibility, heightened security, uncertainty over blast or derailment cause, investigation ongoing",,,2010 Gyaneshwari Express derailment
2010 Moscow Metro bombings,"March 29, 2010","Moscow, Russia","At least 40 killed, over 100 injured",Caucasus Emirate,"Suicide bombings at two Moscow Metro stations during morning rush hour, deadliest terrorist attack in Russian capital in six years, claimed by Caucasus Emirate leader Doku Umarov","Man who brought bombers arrested, Vagabov and four militants killed, series of attacks in Russia since 1994, Chechen militants influenced by Salafi beliefs","Magomedali Vagabov, others","Caucasus Emirate, Chechen separatists",2010 Moscow Metro bombings
2011 Minsk Metro bombing,11 April 2011,"Minsk, Belarus","15 killed, 204 injured",Dzmitry Kanavalau and Vlad Kavalyov,"Bomb exploded at Kastryčnickaja station, classified as terrorist attack, suspects arrested, motives unclear, perpetrators executed, government involvement debated","International condemnation, UN Security Council statement, political controversy, economic crisis, protests","Dzmitry Kanavalau, Vlad Kavalyov",Belarusian government,2011 Minsk Metro bombing
2014 Chennai train bombing,1 May 2014,"Chennai Central railway station, India","1 killed, 14 injured",Unknown,"Two low-intensity bombs exploded on coaches S4 and S5 of the Bangalore–Guwahati Kaziranga Superfast Express, one female passenger killed, 14 others injured","Massive search operation, investigation ongoing, suspect detained found innocent, Special Investigation Team and NIA involved",Unknown,"Tamil Nadu Police, Special Investigation Team, National Investigation Agency",2014 Chennai train bombing
Istanbul Metro bombing,1 December 2015,"Bayrampaşa, Istanbul, Turkey",5 injured,Unknown,"Pipe bomb explosion near Bayrampaşa—Maltepe station, 5 people injured, terrorism-related incident, stub article","Investigation ongoing, no responsible party identified, article is a stub, help expand Wikipedia content",,,2015 Istanbul metro bombing
Würzburg train attack,18 July 2016,"Near Würzburg, Germany",5 injured,Riaz Khan Ahmadzai,"17-year-old Afghan refugee stabbed and injured five people on a train, shot dead by police after attacking them with an axe","Attacker shot dead by police, suspicion of Islamic State affiliation, five wounded including four Hong Kong tourists and one local German woman",,,2016 W眉rzburg train attack
2017 Bhopal–Ujjain Passenger train bombing,"March 7, 2017","Jabri railway station, Shajapur district, Madhya Pradesh, India",10 injured,Islamic State,"Terrorist attack on Bhopal–Ujjain Passenger train, first-ever strike in India by ISIS, 10 passengers injured","One suspect killed in Lucknow encounter, module self-radicalized, no financial support from ISIS, six arrested",Six arrested,Islamic State,2017 Bhopal–Ujjain Passenger train bombing
Saint Petersburg Metro terrorist attack,3 April 2017,"Saint Petersburg, Russia","15 killed, at least 45 injured",Akbarzhon Jalilov (suspected),"Explosive device in briefcase on metro, second device defused, ISIL plot in 2016, no public transport bombings since 2010, ISIL propaganda circulated, Putin visiting Saint Petersburg","Complex domestic terrorism threat, ISIL targeting Russia, sophisticated attack, Putin in Saint Petersburg",Akbarzhon Jalilov (suspected),"ISIL, domestic terrorist groups",2017 Saint Petersburg Metro bombing
7 July 2005 London bombings,7 July 2005,"London, UK","52 killed, 700+ injured",Islamist terrorists,"Coordinated suicide attacks on London public transport during morning rush hour, four bombings on Underground trains and bus, 52 UK residents killed, over 700 injured","Deadliest terrorist incident in UK since 1988, first Islamist suicide attack in the country, caused by homemade explosive devices",,,7 July 2005 London bombings
Bologna massacre,2 August 1980,"Bologna, Italy","85 killed, 200+ wounded",Nuclei Armati Rivoluzionari,"Time bomb hidden in suitcase detonated at Bologna Centrale railway station, roof collapse, main building destroyed, Ancona–Chiasso train hit, tourists present","Large number of casualties, insufficient emergency vehicles, public aid, reopened hospital departments",Members of Nuclei Armati Rivoluzionari,Nuclei Armati Rivoluzionari,Bologna massacre
Brahmaputra Mail train bombing,30 December 1996,"Western Assam, Eastern India",At least 33 killed,Bodo Security Force (suspected),"Bombing on Brahmaputra Mail train, wrecked three carriages, derailed six more, at least 33 killed, bomb composition unknown, detonated by remote control device","Government blamed Bodo Security Force, official reports claimed 33 killed, some dispute the figure, Indian government desires to minimize impact of attack",,,Brahmaputra Mail train bombing
Cairo-Haifa train bombings,"Feb 29, 1948 & Mar 31, 1948","Rehovot & Binyamina, Palestine","Feb 29: 28 British soldiers killed, 35 wounded; Mar 31: 40 civilians killed, 60 wounded","Lehi, Irgun","Feb 29: Train mined north of Rehovot, bombs detonated from orange grove; Mar 31: Train mined near Binyamina, all casualties civilians, Lehi claimed responsibility","Series of train bombings during 1948 Palestine war, retaliation for Ben Yehuda Street Bombing, attacks began in 1947",None,"Lehi, Irgun",Cairo–Haifa train bombings 1948
Dunmurry train bombing,17 January 1980,"Dunmurry, Northern Ireland","3 killed, 5 injured",Provisional Irish Republican Army,"Premature detonation of IRA incendiary bomb on Ballymena to Belfast passenger train, 3 killed, 5 injured, statement issued by IRA acknowledging responsibility","Train engulfed in flames, survivors evacuated, damaged carriages examined, one in service until 2006, other until 2012",IRA members,Provisional Irish Republican Army,Dunmurry train explosion
February 2004 Moscow metro bombing,6 February 2004,"Avtozavodskaya subway station, Moscow, Russia","41 killed, up to 120 injured",Gazoton Murdash,"Male suicide bomber detonated explosives near Avtozavodskaya station, injuries included broken bones and smoke inhalation, Chechen separatists blamed, previously unknown group claimed responsibility","Chechen rebel leaders denied involvement, President Putin blamed separatists, group claimed attack to mark anniversary of Novye Aldi massacre","Tambiy Khudiyev, Maksim Panaryin, Murad Shavayev","Gazoton Murdash, Lom-Ali, Nikolai Kipkeyev",February 2004 Moscow metro bombing
Italicus Express massacre,4 August 1974,"San Benedetto Val di Sambro tunnel, Italy","12 killed, 48 wounded",Ordine Nero,"Bomb attack on Italicus Express night train, 12 killed, 48 wounded, bomb placed in fifth passenger car, explosion at 01:23","Train reached end of tunnel, Aldo Moro had been on train day before, Ordine Nero claimed responsibility","Mario Tuti's subversive commando unit: Piero Malentacchi, Luciano Franci, Margherita Luddi","Ordine Nero, Fronte Nazionale Rivoluzionario, Ordine Nuovo",Italicus Express bombing 1974
Vile Parle railway station bombing,27 January 2003,"Mumbai, India","1 killed, 28 injured",Unknown,"Bomb placed on bicycle near Vile Parle railway station, explosion killed one, injured 28, coincided with Prime Minister Vajpayee's visit","Second in series of five bombings in Mumbai, Prime Minister's visit unaffected, no responsible party identified",,,January 2003 Mumbai bombing
Jaunpur train crash,13 May 2002,"Jaunpur, Uttar Pradesh, India","12 killed, 80 injured",Suspected Student's Islamic Movement of India,"Shramjeevi Express derails after hitting broken rail, 12 killed, 80 injured, fishplates removed from rails, suspected terrorist attack","Prompt rescue efforts, injured taken to local hospitals, investigation points to terrorist sabotage",,,Jaunpur train crash
Kurnool train crash,21 December 2002,"Kurnool district, Andhra Pradesh, India","20 killed, 80 injured",Suspected sabotage,"Derailment and crash of Kacheguda - Bengaluru City Superfast Express, 20 killed, 80 injured, one rail track deliberately severed, no terrorist organization claimed responsibility","Emergency services responded, 30 hospitalized, line cleared for service, sabotage confirmed, no motive established",Unknown,None,Kurnool train crash
Matsukawa derailment,"August 17, 1949","Fukushima Prefecture, Japan",3 crew members killed,"Japanese Communist Party, Japan National Railway Union","Tōhoku Main Line passenger train derailed and overturned, sabotage suspected, bolts and nuts on track joints loosened","20 arrested, 17 convicted in 1953, all acquitted on appeal, case closed in 1970, archive files made public in 2009","Ten workers from Matsukawa plant, ten workers from Japan National Railway","Japanese Communist Party, Japan National Railway Union",Matsukawa derailment
Mitaka incident,"July 15, 1949","Tokyo, Japan","6 killed, 20 injured",Unidentified,"Unmanned train incident at Mitaka Station, Chūō Line, 63 series train, 6 killed, 20 injured, mysterious circumstances","Indictment of ten for train sabotage, conductor charged, court ruling in 1955, Takeuchi sentenced to death","Ten indicted, two for perjury",Japanese Communist Party,Mitaka incident
Parsons Green train bombing,15 September 2017,"Parsons Green Underground station, London, England","30 treated in hospital, mostly for burn injuries",Ahmed Hassan (arrested),"Explosion on District line train, botched ""bucket bomb"" with TATP, main suspect arrested, several addresses raided, classified as jihadist terrorism","Main suspect arrested, foster home raided, suspect's background revealed, classified as jihadist terrorism",Ahmed Hassan,"ISIL, Europol",Parsons Green train bombing
Rafiganj rail disaster,10 September 2002,"Rafiganj, North-Central India","At least 130 killed, 150 injured",Naxalites (suspected),"Derailment of Howrah Rajdhani Express on Dhave River bridge, reportedly due to sabotage by Naxalites, 130 killed, 150 injured","Rescue efforts hampered by poor roads, 125 people rescued, bodies recovered from river, death toll potentially higher",,,Rafiganj train disaster
Rizal Day bombings,"December 30, 2000","Metro Manila, Philippines","22 fatalities, around 100 non-fatal injuries",Islamic groups initially suspected,"Series of bombings on Rizal Day, 5 locations bombed almost simultaneously, bombs made of black powder and ammonium nitrate-based explosives, components sourced from Talisay, Cebu","Case remained unsolved for almost three years, suspect Saifullah Yunos arrested in 2003, confessed to involvement, charged with multiple murders",Saifullah Yunos,"Jemaah Islamiyah, Moro Islamic Liberation Front, Moro National Liberation Front",Rizal Day bombings
Tokyo subway sarin attack,20 March 1995,"Tokyo, Japan","14 killed, 50 severely injured, nearly 1,000 with temporary vision problems",Aum Shinrikyo,"Coordinated sarin attacks on three Tokyo Metro lines during rush hour, directed against trains passing through Kasumigaseki and Nagatachō, led by Shoko Asahara","Arrest of over 200 cult members, including Asahara, 13 senior Aum management sentenced to death, deadliest terrorist incident in Japan","Shoko Asahara, other senior Aum members",Aum Shinrikyo,Sarin gas attack on the Tokyo subway
Tarnów train station bombing,28 August 1939,"Tarnów, Poland","20 killed, 35 wounded",German saboteur,"Time bomb exploded inside Tarnów train station, 20 killed, 35 wounded, attack carried out by German saboteur Anton Guzy","Attack occurred two days before the start of World War II, saboteur identified as Anton Guzy, 20 people killed instantly",,,Tarn贸w train station bombing
Train 904 bombing,23 December 1984,"Apennine Base Tunnel, Italy","16 killed, 266 wounded",Sicilian Mafia,"Bomb detonated on Naples to Milan express train, 16 killed, 266 wounded, motive to distract security forces from investigating Mafia, Mafia boss Giuseppe Calò convicted","Mafia boss Salvatore Riina indicted for ordering bombing, Calò convicted, attack to distract from Mafia investigation","Giuseppe Calò, Salvatore Riina",Sicilian Mafia,Train 904 bombing
