Political Party,Resignation Date,Reason for Resignation,Work Experience,Education,Constituency,Year Elected,Position,Subsequent Actions Taken,Birthplace,Family Background,Notable Actions,Position Resigned from,Previous Positions,Current Position,Political Stance,Positions Held,Birthdate,Party Affiliation,Notable Positions Held,Years Elected,Resignation Announcement,Previous Position,trigger
Conservative,2020,"Made ""veiled threats"" to use privilege for personal gain during a financial dispute involving his father","Public relations executive, associate director at PLMR, director of the Policy Research Centre for Business Ltd",Modern History and Politics degree from the University of Southampton,Bournemouth West,2010,Minister of State for Trade Policy (2019 - 2020),,"Belfast, moved to Hertfordshire in 1980",,,,"Parliamentary Private Secretary to the Secretary of State for Northern Ireland, PPS to Foreign Secretary Boris Johnson",,,,,,,,,,Conor Burns
Conservative,,,"Started his own insurance broker's business in 1996, sold his business before being elected to the House of Commons",,,,Member of Parliament for North Warwickshire since 2015,,,"Father of Irish descent, mother from the North East, parents founded a business in Durham",Co-chair of the All Party Parliamentary Group for Insurance and Financial Services,,,,,,,,,,,,Craig Tracey
,December 2017,Breach of ministerial code due to allegations of sexual harassment and viewing pornography on a work computer,,,,,,Instructed to resign from the Cabinet amidst the 2017 Westminster sexual misconduct allegations,,,,First Secretary of State and Minister for the Cabinet Office,,,,,,,,,,,Damian Green
Conservative,2019,Conservative Party leadership election,Solicitor at Richards Butler and Macfarlanes,"Law degree from St Edmund Hall, Oxford and the College of Law in Chester",South West Hertfordshire,2005,"Member of Parliament for South West Hertfordshire (2005 - 2019), Secretary of State for Justice and Lord Chancellor (2018 - 2019)",,,,"Conservative whip removed, served in various government positions including Chief Secretary to the Treasury and Secretary of State for Work and Pensions",,,,,,,,,,,,David Gauke
Conservative,24 July 2019,Anticipation of Boris Johnson's appointment as Prime Minister,"Special adviser to Home Secretary Douglas Hurd, posts with BP and Rio Tinto Group","Modern History at Sidney Sussex College, Cambridge, PhD in The Enforcement of the Penal Statutes at the Court of the Exchequer",Aylesbury,1992,"Member of Parliament for Aylesbury (1992 - 2019), Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office (2018 - 2019), Minister of State for Europe (2010 - 2016), Leader of the House of Commons, Lord Chancellor, and Secretary of State for Justice",,Lambeth,,,,,,,,,,,,,,David Lidington
Conservative,2018,Opposition to Theresa May's draft Brexit withdrawal agreement,"Lawyer at Linklaters, worked at the Foreign and Commonwealth Office, political aide","Law degree from Lady Margaret Hall, Oxford; master's degree from Jesus College, Cambridge",Esher and Walton,2010,"Deputy Prime Minister of the United Kingdom, Secretary of State for Justice and Lord Chancellor since 2021",,,,,,,,,,,,"Brexit Secretary, First Secretary of State, Foreign Secretary",,,,Dominic Raab
Conservative,January 2018,Misleading the House of Commons over the Universal Credit scheme,"Television presenter, worked at family's construction business","Studied at Queen Mary University of London and City, University of London",Tatton,2017,Secretary of State for Work and Pensions (2018),,,,,,,,,,,,,,,,Esther McVey
Conservative,-,-,Worked in the Magistrates Court Service and as a solicitor in Dartford,Attended Dartford Grammar School,,,Member of Parliament for Dartford (2010 - present),-,Bromley,Son of a milkman,,,,,,,,,,,,,Gareth Johnson
Conservative,September 2021,Dismissed as Education Secretary during a cabinet reshuffle,"Chair of Conservative Students, North Yorkshire County Council member",University of Bradford,South Staffordshire,2010,"Secretary of State for Defence (2017 - 2019), Secretary of State for Education (2019 - 2021)",-,"Scarborough, North Yorkshire",,,,,,,,,,,,,,Gavin Williamson
Conservative,28 February 2019,-,"Director of Communications at CCHQ, Press Secretary for David Cameron, joined Portland Communications",,Camborne and Redruth,2010,"Minister of State for Agriculture, Fisheries and Food (2013 - 2019)",,,,,,,,,,,,,,,,George Eustice
Conservative,,,-,-,"Chelsea and Fulham (2005 - present), previously Hammersmith and Fulham",2005,,,"New York City, USA",-,,,"Minister of State for Trade Policy (2016 - 2018, 2020 - 2021), Chief Secretary to the Treasury (2015 - 2016)","Minister of State for Business, Energy and Clean Growth since 2021",Voted for the UK to remain in the EU during the 2016 Brexit referendum,,,,,,,,Greg Hands
Conservative,3 September 2019,Conservative whip removed,"Business consultant, economic development consultancy, business development director of Innovas Wales, partner in wife's bookshop","BA in history from the University of Wales, Aberystwyth",Aberconwy,2010,"Member of Parliament for Aberconwy (2010 - 2019), Parliamentary Under-Secretary of State at the Wales Office (2016 - 2018), Minister for Defence Procurement at the Ministry of Defence (January 2018 - July 2018)",Served as an independent,Wrexham,,,,,,,,,,,,,,Guto Bebb
,January 2018,Health grounds,,,,,,Resigned and replaced by Karen Bradley,,,,Secretary of State for Northern Ireland,,,,,,,,,,,James Brokenshire
,September 2019,"Failure of Brexit negotiations to achieve promises, wish to campaign for a referendum on Brexit withdrawal agreement",,,,,,"Resigned from Cabinet, announced intention to stand down as MP at next general election",,,,"Minister of State for Universities, Science, Research and Innovation",,,,,,,,,,,Jo Johnson
Conservative,January 2018,"Resigned as Education Secretary and Minister for Women and Equalities in the January 2018 Cabinet reshuffle, later had the whip withdrawn after voting against the government","Trained and qualified as an accountant, worked for PricewaterhouseCoopers, GlaxoSmithKline, and Centrica","Business Economics and Accounting degree from the University of Southampton, Executive MBA from the London Business School",Putney,,,Sat as an independent MP until Parliament was dissolved for the December 2019 general election,Rotherham,-,,,,,,"Secretary of State for Education (2016 - 2018), Economic Secretary to the Treasury (2010 - 2011), Secretary of State for Transport (2011 - 2012), Secretary of State for International Development (2012 - 2016)",,,,2005 - 2019,,,Justine Greening
Conservative,September 2019,"Whip removed in September 2019, stood down as MP prior to the upcoming general election","Co-founder of Shire Health Group, Head of European Healthcare at Ogilvy & Mather",Economics and Government degree from the London School of Economics,Stourbridge,2010,Minister of State for Digital and Creative Industries (2018 - 2019),-,Coventry,,,,,,,,,,,,,,Margot James
Conservative,,,"Co-founder of Advanced Digital Telecom, various government roles including Assistant Government Whip",-,Selby and Ainsty,2010,,,,Son of a school caretaker and school cleaner,Key figure in Boris Johnson's unsuccessful Conservative Party leadership bid in 2016,,,Minister of State without Portfolio at the Cabinet Office since 2021,,,,,,,Intention to stand down from Parliament at the next general election,,Nigel Adams
,13 March 2019,Voted against the Government to oppose the UK leaving the EU without a deal,,,,,,-,,,,Parliamentary Private Secretary to the Ministerial Team at the Home Office,,,,,,,,,,,Paul Masterton
,July 2019,Disagreement with supporting a no-deal Brexit under Boris Johnson's leadership,,,,,,Tendered resignation to Theresa May,,,,Chancellor of the Exchequer,,,,,,,,,,,Philip Hammond
Conservative,2017,Unauthorized meetings with the Government of Israel breaching the Ministerial Code,"Weber Shandwick, Minister of State for Employment","Keele University, University of Essex",Witham,2010,,,,,"Leading figure in the Vote Leave campaign for Brexit, involved in a political scandal leading to her dismissal as International Development Secretary",,,Home Secretary since 2019,,,,,,,,Secretary of State for International Development (2016 - 2017),Priti Patel
Conservative,-,-,Senior manager at Lloyds Banking Group,BSc. in Government from the London School of Economics,,,"Member of Parliament for North East Hampshire since May 2015, Minister for International Trade since May 2020",-,"London, England","Father of Sri Lankan origin, mother of Indian heritage, has a brother and sister",,,,,,,,,,,,,Ranil Jayawardena
Conservative,14 September 2020,Resigned from the position of United Kingdom's Special Envoy for Freedom of Religion or Belief,,,,,"Member of Parliament for Gillingham and Rainham since 2010, United Kingdom's Special Envoy for Freedom of Religion or Belief (2019 - 2020)",-,"Muzaffarabad, Azad Kashmir, Pakistan",,,,,,,,,,,,,,Rehman Chishti
Conservative,,,Barrister at 3PB Chambers specializing in personal injury/clinical negligence and public and regulatory law,Law degree from the University of Sheffield,Witney,2016,,,,"Father Ian Courts is a solicitor, company director, and Conservative leader of Solihull Metropolitan Borough Council; mother Sheila is a school governor",,,"Parliamentary Private Secretary to the Secretary of State for Environment, Food and Rural Affairs",Parliamentary Under-Secretary of State for Transport since 2020,"Supported the 'Leave' campaign in the EU referendum, replaced David Cameron as MP in the 2016 Witney by-election",,,,,,,,Robert Courts
Conservative,July 2019,Served as Secretary of State for International Development from May to July 2019,"Diplomat in Indonesia, British Representative to Montenegro, Deputy Governor in Maysan and Dhi Qar, Director of the Turquoise Mountain Foundation","Educated at the Dragon School, Eton College, Balliol College, Oxford",Penrith and The Border,2010,,,,,"Undertook a two-year walk across Asia, wrote best-selling books about his experiences",,"Minister for the Environment, Minister of State for International Development, Minister of State for Africa, Minister of State for Prisons",Senior Fellow at Yale University's Jackson Institute for Global Affairs,,,,,,,,,Rory Stewart
Conservative,30 November 2018,Protest at Theresa May's Brexit withdrawal agreement,"Investment banker at Goldman Sachs, co-founder of Clearstone Training and Recruitment Limited","Politics, Philosophy, and Economics degree from Somerville College, University of Oxford",East Surrey,2010,"Minister for Universities, Science, Research and Innovation (2018)",,"Beaconsfield, Buckinghamshire",,,,,,,,,,,,,,Sam Gyimah
Conservative,,,"Marketing officer for IBIS, Citibank, and American Express, director of Age Concern England, founder and initial director of The International Longevity Centre","History degree from King's College London, master's degree in the United States as a Rotary International Scholar",Truro and Falmouth,"2010, 2015, 2017","Parliamentary Under Secretary of State for Crime, Safeguarding and Vulnerability",,,,"Sworn into office after taking oaths in Cornish, appointed Chair of the Health and Safety Executive from 1 August 2020",,,,,,,,,,,,Sarah Newton
Conservative,November 2018,Government's proposed Brexit agreement,"Senior legal adviser and business consultant for London First, vice-president of the Small Business Bureau","Qualified as a solicitor, attended Aylesbury Grammar School and Brunel University",North West Cambridgeshire,2005,Member of Parliament for North West Cambridgeshire since 2005,,Uganda,,,,"Vice-Chairman of the Conservative Party, Shadow Deputy Leader of the House of Commons, Parliamentary Under Secretary of State at the Ministry of Justice and Department of Work and Pensions",,,,,,,,,,Shailesh Vara
Conservative,2017,Implicated in the 2017 Westminster sexual misconduct allegations,"Deputy Chairman of the Conservative Party, Minister of State for Business and Enterprise, Minister of State at the Department of Energy and Climate Change",Classics and Ancient History degree from the University of St Andrews,Sevenoaks,1997 - 2019,,,"Perth, Scotland",,,Secretary of State for Defence,,,,,,,,,,,Sir Michael Fallon
Conservative,March 2019,"Voted against government's Brexit policy, supported the Benn Act","BBC Radio journalist, public relations, director of Azalea Group",Studied history at Liverpool Hope University,,,"Member of Parliament for Winchester since 2010, Parliamentary Under-Secretary for Public Health and Primary Care (2017 - 2019)",,-,Parents Clive Charles and Gloria Elizabeth Brine,,,,,,,,,,,,,Steve Brine
Conservative,,,Former barrister,"Law degree from Queens' College, Cambridge, master's degree in European and French law from Pantheon-Sorbonne University",Fareham,2015,"Attorney General for England and Wales, Advocate General for Northern Ireland (2020 - present)",,"Harrow, Greater London","Parents Christie and Uma Fernandes, of Indian origin, mother was a nurse and councillor, father worked for a housing association","Chaired the European Research Group, member of the Triratna Buddhist Community",,,,,,,,,,,,Suella Braverman
Conservative,,,-,-,,,,,,Son of Percy Otto Taylor and Ethel Brocklehurst,"Created a Commander of the Order of the British Empire in 1992 for political service, served as Chairman of the National Conservative Convention from 2000 to 2003, created a life peer as Baron Taylor of Holbeach in 2006",,,,,"Government Chief Whip in the House of Lords, Minister at the Department for Environment, Food and Rural Affairs, Parliamentary Under-Secretary of State for Criminal Information at the Home Office, Captain of the Honourable Corps of Gentlemen-at-Arms and Chief Whip in the House of Lords",,,,,,,The Lord Taylor of Holbeach
,2018,Delay over the introduction of reduced limits on the stakes of fixed odds betting terminals,,,,,,-,,,,,,,,,,,,,,,Tracey Crouch
Conservative,,,"Market Development Executive at Concur Technologies Ltd, Customer Development Executive at Britvic, trainee solicitor at Asher Prior Bates, solicitor at Thompson Smith and Puxon",Studied Law at Aberystwyth University,Colchester,2015,Member of Parliament for Colchester since 2015,,Buckinghamshire,,,,,,,,,,,,,,Will Quince
