Date,Location,Trigger Event,Impact,Casualties,Notable Incidents,Response from Authorities,Duration,Involvement,Historical Context,Demographics,Significance,Involvement of Protesters,Contributing Factors,Parties Involved,Locations Affected,Organizations Involved,Leaders,Dates,Trigger Events,Arrests,Property Damage,Aftermath,Economic Impact,Legal Proceedings,Response from Immigrants,Racial Tensions,Dr. Martin Luther King Jr.,trigger
"July 12, 1979","Comiskey Park, Chicago, Illinois","Promotion involving blowing up disco records, resulting in a riot","Damage to the playing field, negative publicity for the White Sox",,"Crate of disco records blown up, fans rushing onto the field, White Sox forfeiting the game",,,,,,,,,,,,,,,,,"Second game forfeited, repercussions for the team, impact on disco culture",,,,,,Disco Demolition Night
"June 12-14, 1966","Division Street, Chicago, Illinois",Civil unrest and rioting by Puerto Rican community,Turning point in Puerto Rican civic involvement in Chicago,,,,,,,Puerto Rican migrants in Chicago,,,"Economic displacement, housing discrimination, social segregation",,,,,,,,,,,,,,,Division Street riots
November 1949,"Englewood neighborhood, Chicago, Illinois",Whites rioting based on rumors of black takeover,Labor struggles moving into the larger community,Destruction of Aaron Bindman's home,"Interracial union meeting, two days of rioting",Presence of 100 policemen on the scene,,"Whites, black shop stewards, police",,,,,,,,,,,,,,,,,,,,Englewood race riot
"August 13-16, 1947","Fernwood Park neighborhood, Chicago, Illinois",Racial integration attempt by Chicago Housing Authority in veterans' housing project,,Number of injured or arrested individuals,,Limited intervention by Chicago Police Department,Three days,"White residents, African American residents, Chicago Police Department","Emergence of housing projects in Chicago, Great Migration, racial tensions",,,,,,,,,,,,,,,,,,,Fernwood Park race riot
2020,"Chicago, Illinois","Murder of George Floyd, police brutality protests",,"One person dead, six shot, multiple arrests","Mayor Lightfoot's comparison of Floyd's murder to Laquan McDonald, required police training, arrests during protests","Declaration of curfews, deployment of Illinois National Guard",,,,,,"Demonstrations, downtown street closures, blocking traffic, throwing bottles, climbing onto cars",,,,,,,,,,,Exceeded $125 million in damages,,,,,George Floyd protests in Chicago
"May 4, 1886","Haymarket Square, Chicago, Illinois",Bombing at a labor demonstration during a rally for an eight-hour work day,"Origin of International Workers' Day, climax of the Great Upheaval","7 police officers and at least 4 civilians dead, dozens wounded",,,,,,,Influential event in labor history globally,,,,,,,,,,,,,"Conviction of 8 anarchists, 7 sentenced to death, 1 to 15 years in prison",,,,Haymarket affair
"June 4, 1977","Humboldt Park, Chicago, Illinois","Shooting deaths of two Puerto Rican men, clashes with Chicago police officers","Division Street Puerto Rican Day Parade initiated, community response",,,Chicago Police Department intervention,One and a half days,,,Puerto Rican community in Chicago,,,"Puerto Rican migration, displacement, racial tensions",,,,,,,,,,,,,,,Humboldt Park riot
"April 21, 1855","Chicago, Illinois",Renewed enforcement of Sunday tavern closure ordinance and liquor license fee increase targeting German immigrants,Strengthening of German immigrant social and political cohesiveness,,,,,,"Nativist sentiment, political movements in Chicago",German immigrant community in Chicago,,,,,,,,,,,,,,,"Greater sense of community, social cohesion",,,Lager Beer Riot
,,,,,,,,,,"Majority white ethnic neighborhood in the 1960s, minimal non-white residents",Marquette Park as a site of racially charged rallies and violence,,,,,,,,,,,,,,,"History of discrimination, reputation as a place to avoid for black people",Moved to Chicago's west side to protest poor living conditions for blacks,Marquette Park rallies
"May 30, 1937","Chicago, Illinois",Chicago Police Department shooting and killing of ten unarmed demonstrators during the Little Steel strike,"Public outrage, no police prosecutions, labor rights awareness","10 killed, 9 permanently disabled, 28 with serious head injuries","Protesters shot and beaten, no prosecutions for police officers",,,"Chicago Police Department, Steel Workers Organizing Committee",,,,,,,,,,,,,,,,,,,,Memorial Day massacre of 1937
"May 11 to July 20, 1894","Chicago, Illinois",Wildcat strike by Pullman factory employees due to wage reductions,"Nationwide railroad boycott, shutdown of freight and passenger traffic",Not specified,,,,,"Panic of 1893, economic depression, labor law turning point",,,,,"American Railway Union, Pullman Company, main railroads, federal government",,,,,,,,,,,,,,Pullman Strike
