Date,Location,Casualties,Cause of Explosion,Impact,Individuals Involved,Legal Actions Taken,Regulations/Restrictions,trigger
"February 1, 2008","Davutpaşa, Istanbul, Turkey","At least 17-22 dead, at least 100 injured",Accidental explosion at unlicensed fireworks factory,"Multiple explosions, building collapse, victims crushed, shut down by authorities prior to incident","Factory workers, nearby manufacturers, authorities","Factory shut down twice prior to incident, illegal operation","Illegal operation, lack of enforcement of safety regulations",Istanbul fireworks explosion
"January 27, 2013","Santa Maria, Rio Grande do Sul, Brazil","245 killed, at least 630 injured","Pyrotechnic device ignited by band, ignited flammable acoustic foam","Second most-devastating fire disaster in Brazil, third-deadliest nightclub fire in history, stampede, lack of emergency exits, high death toll due to smoke inhalation","Students, band members, party attendees","Police investigation, band blamed for starting fire","Lack of exit signs, emergency exits, overcrowding, exceeded maximum capacity, smoke inhalation as cause of death",Kiss nightclub fire
"December 5, 2009","Perm, Russia","156 killed, up to 160 injured","Sparks from pyrotechnics ignited low ceiling, spread to walls, damaged electrical wiring","156 fatalities, up to 160 injuries, club's eighth anniversary celebration, wooden decorations ignited, panic and stampede during evacuation","Club attendees, performance artist, master of ceremonies, witnesses",Not specified,Not specified,Lame Horse fire
"December 29, 2001","Mesa Redonda shopping center, Central Lima, Peru","291 killed, 134 injured",Chain reaction from fireworks display,"Worst firework-related fire in history, emergency zone, wooden structures, narrow streets","Fireworks merchants, municipal government, bystanders",Not specified,"Area declared an ""emergency zone"" due to danger of fireworks",Mesa Redonda fire
"December 12, 1988","La Merced Market, La Merced, Mexico City, Mexico","60+ killed, 83+ injured",Illegal fireworks explosion triggered by gas cylinder explosion,"Over 60 fatalities, 83+ injuries, chain reaction of exploding firework crates, fire spread to nearby buildings and stalls","Street food vendor, witnesses, victims, emergency responders","Ban on sale and use of fireworks in Mexico City, skepticism due to bribery of officials","Sale and use of fireworks made illegal in Mexico City, previously unregulated",Mexico City fireworks disaster
"April 10, 2016","Paravur, Kollam, Kerala, India","111 killed, 350+ injured",Sparks from firecracker ignited fireworks in concrete storehouse,"111 fatalities, 350+ injuries, temple and 150 houses damaged, banned display of sound-emitting firecrackers in places of worship","Pilgrims, temple authorities, local residents",Kerala High Court banned display of sound-emitting firecrackers in places of worship,Competitive fireworks display not permitted by Kerala government authorities,Puttingal temple fire
"December 30, 2004","Buenos Aires, Argentina","194 killed, 1,492 injured",Pyrotechnic flare ignited foam in ceiling of nightclub,"194 fatalities, 1,492 injuries, overcrowded venue, lack of fire safety measures, flammable building materials","Club operator, band members, audience, emergency responders","Criminal charges against club operator, band members, and others, investigations conducted","Expired fire safety license, overcrowding, lack of fire safety equipment",Rep煤blica Croma帽贸n nightclub fire
"January 1, 2009","Ekkamai, Watthana, Bangkok, Thailand","66 killed, 222 injured",Fire during New Year's celebration in nightclub,"66 fatalities, 222 injuries, international victims, possible causes include fireworks or electrical explosion","Club attendees, band members, citizens of thirteen countries","No official cause announced, suggested causes include fireworks or electrical explosion","Lax enforcement of building regulations, use of flammable materials, inadequate exits",Santika Club fire
"November 3, 2004","Seest, Kolding, Denmark","1 firefighter died, 7 rescue team members injured, 17 locals injured",Accidental ignition of fireworks in warehouse,"2,000 people evacuated, significant property damage, injuries to emergency personnel, financial losses","Firefighter, rescue team, locals, emergency personnel","Investigation conducted, factory not held responsible","Maximum storage limit of 300 tons for fireworks, no violations found",Seest fireworks disaster
"September 5, 2012","Sivakasi, Tamil Nadu, India","40 killed, 70+ injured",Explosion at Om Sakthi Fireworks Industries factory,"40 fatalities, 70+ injuries, suspension of factory license, high production pressure, delayed firefighting and treatment efforts","Factory workers, local police officials","Factory license suspended, violations of worker safety rules, pressure to maintain high production levels","Suspension of factory license, violation of worker safety rules, pressure to maintain high production levels",Sivakasi factory explosion
"October 26, 2017","Tangerang, Indonesia","49 killed, 46 injured, several missing",Accidental ignition of gunpowder during welding near fireworks,"Deadliest industrial accident in Indonesia, massive fire, factory workers affected, nearby residents evacuated","Factory workers, nearby residents, students","Initial investigation by Indonesian National Police, accidental ignition of gunpowder, later report on welding sparks",No specific regulations or restrictions mentioned,Tangerang fireworks disaster
"February 20, 2003","West Warwick, Rhode Island, United States","100 killed, 230 injured",Pyrotechnics ignited flammable acoustic foam,"100 fatalities, 230 injuries, flashover within one minute, intense black smoke, blocked egress, post-traumatic stress disorder","Band members, tour manager, concert attendees","Criminal charges against tour manager, civil lawsuits, settlements","Changes in fire safety regulations, stricter enforcement of pyrotechnic use, venue safety inspections",The Station nightclub fire
"January 1, 2001","Volendam, Netherlands","14 killed, 241 injured",Sparkler hitting Christmas decorations in café fire,"14 fatalities, 241 injuries, severe burns, panic, lack of oxygen, blocked emergency exits","Young people aged 13-22, survivors, emergency responders","Investigation, emergency response, building safety violations","Tighter regulations on building safety, emergency exits, and crowd management",Volendam New Year's fire
"September 21, 2008","Shenzhen, Guangdong, China","43 killed, 88 injured",Pyrotechnics during floorshow stunt,"43 fatalities, 88 injuries, stampede due to panic, poor ventilation blamed","Club-goers, club management","13 detained, 6 charged with negligence, 6 charged with harboring criminals","Operating without building license, non-compliance with building codes",Wuwang Club fire
