Event Name,Date,Location,Area Burned,Fatalities,Causes,Impact,Estimated Damage Cost,trigger
2015 Sampson Flat fires,2 - 9 January 2015,South Australia,"20,000 hectares",0,"Extreme heat, semi rural area ignition, strong winds","26 houses destroyed, 37 families in temporary accommodation, total cost over A$13 million",A$13 million,2015 Sampson Flat bushfires
2019–20 Australian bushfire season,June 2019 - January 2020,Australia,24.3–33.8 million hectares,34,"Dry conditions, lack of soil moisture, early fires, intense drought, extreme heat, strong winds, uncontrollable fires","5,900 buildings destroyed, 34 fatalities, 3 billion terrestrial vertebrates affected, endangered species driven to extinction, hazardous air quality, economic losses exceeding A$103 billion",A$4.4 billion (expected to exceed),2019–20 Australian bushfire season 
Ash Wednesday bushfires,16 February 1983,Victoria and South Australia,Not specified,75,"Severe drought, extreme weather, firestorm conditions, sudden wind change","75 fatalities, widespread destruction of buildings, high livestock losses, massive evacuation efforts, state of disaster declared",A$176 million (insurance claims),Ash Wednesday bushfires
Christmas 2001 bushfires,December 2001,"New South Wales, Australia","753,314 hectares",Not specified,"Low rainfall, hot and dry conditions, power lines, strong winds, arson","121 homes destroyed, 36 damaged, extensive pollution in Sydney, harsher penalties for arsonists, onset of severe drought",Not specified,Black Christmas bushfires
Black Friday bushfires,13 January 1939,"Victoria, Australia","2,000,000 hectares",71,"Extreme heat, drought, strong winds","71 fatalities, destruction of 1,300 homes, 69 sawmills, 3,700 buildings, major changes in forest management",Not specified,Black Friday bushfires
Black Saturday bushfires,7 February 2009,"Victoria, Australia",Not specified,173,"Extreme bushfire weather conditions, high temperatures, slow moving high-pressure system, intense tropical low","173 fatalities, many left homeless, highest-ever loss of human life from a bushfire in Australia, 400 individual fires recorded",Not specified,Black Saturday bushfires
Black Sunday bushfires,2 January 1955,South Australia,"39,000 - 160,000 hectares",2,"Sparks from powerlines, extreme temperatures, strong winds","2 deaths, destruction of 40 homes and numerous buildings, A$4 million worth of property damage, destruction of Governor's summer residence at Marble Hill",A$4 million,Black Sunday bushfires
Black Thursday bushfires,6 February 1851,"Victoria, Australia",5 million hectares,12,"Intense drought, extreme heat, strong winds, unattended burning logs","12 human lives lost, 1 million sheep, thousands of cattle, countless native animals, quarter of state's area burned",Not specified,Black Thursday bushfires
Boorabbin National Park Bushfire,December 2007,"Boorabbin National Park, Western Australia",Not specified,3,"Roadblock lifted on Great Eastern Highway, resulting in fatalities",Tragic deaths of three men,Not specified,Boorabbin National Park
Linton Bushfire,2 December 1998,"Linton, Victoria, Australia",660 hectares,5,"Unexpected wind change, entrapment of firefighting crews, Dead Man Zone safety procedures","5 volunteer firefighters killed, changes in safety procedures, memorials erected, inquest findings",Not specified,Linton bushfire
Red Tuesday bushfires,1 February 1898,"South Gippsland, Victoria, Australia","260,000 hectares",12,Not specified,"12 fatalities, destruction of over 2,000 buildings, displacement of 15,000 people, 2,500 left homeless",Not specified,Red Tuesday bushfires
Tenterden Town History,14th century onwards,"Kent, England",Not applicable,Not applicable,"Growth around wool industry, incorporation into Cinque Ports Confederation, development of school and railway station","Historical significance, growth as a wool manufacturing center, incorporation into Cinque Ports Confederation, development of school and railway station",Not applicable,Tenterden
