Date,Location,President,Vice President,Chief Justice,Length of Term,Notable Events,Notable Quotation,trigger
"March 4, 1817","Old Brick Capitol, Washington, D.C.",James Monroe,Daniel D. Tompkins,John Marshall,First four-year term,"Largest crowd to date, outdoor ceremony, mild and sunny weather, Monroe's inaugural address, call for military buildup and unity",N/A,First inauguration of James Monroe
"January 20, 1969","East Portico of the United States Capitol in Washington, D.C.",Richard Nixon,Spiro Agnew,Earl Warren,First full term,"Commencement of first term, non-incumbent VP to President inauguration, last oath by Chief Justice Warren, inaugural address delivery",N/A,First inauguration of Richard Nixon
"January 20, 1981","West Front of the United States Capitol in Washington, D.C.",Ronald Reagan,George H. W. Bush,Warren E. Burger,First term,"Inaugural held on west side of Capitol, oldest president until 2017, hostages in Iran released, committee decision to move inauguration, Reagan's attire, inaugural address symbolism",N/A,First inauguration of Ronald Reagan
"March 4, 1801","Washington, D.C.",Thomas Jefferson,Aaron Burr,John Marshall,First four-year term,"Commencement of first term, inauguration tie with Burr, John Marshall swearing-in, Alexander Hamilton's influence, reconciliation theme, mild weather, Jefferson's walk to ceremony",N/A,First inauguration of Thomas Jefferson
"March 4, 1869","East Portico of the United States Capitol in Washington, D.C.",Ulysses S. Grant,Schuyler Colfax,Salmon P. Chase,First four-year term,"First inauguration, commencement of first term, Chief Justice administering oath, Andrew Johnson's absence, grand inaugural parade, special tickets for Capitol admission, Inauguration Address points",N/A,First inauguration of Ulysses S. Grant
"March 4, 1897","Old Senate Chamber at the United States Capitol in Washington, D.C.",William McKinley,Garret Hobart,Melville Fuller,Only full term,"First inauguration, first full term, first inauguration recorded on film, last 19th-century inauguration, intra-term vice-presidential vacancy, last term of Vice President Hobart",N/A,First inauguration of William McKinley
"March 4, 1913","East Portico of the United States Capitol in Washington, D.C.",Woodrow Wilson,Thomas R. Marshall,Edward D. White,First four-year term,"Commencement of first term, Chief Justice administering oath, absence of inaugural balls, Wilson's vision for the U.S., Woman Suffrage Procession","""Nowhere else in the world have noble men and women exhibited in more striking forms the beauty and the energy of sympathy and helpfulness and counsel in their efforts to rectify wrong, alleviate suffering, and set the weak in the way of strength and hope""",First inauguration of Woodrow Wilson
"January 20, 1945",South Portico of the White House,Franklin D. Roosevelt,Harry S. Truman,Harlan F. Stone,Fourth and final term,"Commencement of fourth term, only fourth term inauguration, austerity measures due to WWII, Chief Justice administering oath, shortest inaugural address, last outgoing VP to swear in successor",N/A,Fourth inauguration of Franklin D. Roosevelt
"March 4, 1889",East Portico of the United States Capitol,Benjamin Harrison,Levi P. Morton,Melville Fuller,1 four-year term,"Rain during the ceremony, brief speech, emphasis on education and religion, protective tariff, statehood for territories, Monroe Doctrine","""If our great corporations would more scrupulously observe their legal obligations and duties, they would have less call to complain of the limitations of their rights or of interference with their operations.""",Inauguration of Benjamin Harrison
"January 20, 2017","West Front of the United States Capitol in Washington, D.C.",Donald Trump,Mike Pence,John Roberts,First term,"Public ceremony, estimated attendance, 58th presidential inauguration, oath administration, inaugural events, protests, electoral vote certification",N/A,Inauguration of Donald Trump
"March 4, 1853","East Portico of the United States Capitol in Washington, D.C.",Franklin Pierce,William R. King,Roger B. Taney,Only four-year term,"Commencement of only term, Pierce's affirmation of oath, King's oath taken in Cuba, King's death, vacant VP office, Twenty-fifth Amendment",N/A,Inauguration of Franklin Pierce
"January 20, 1989","West Front of the United States Capitol in Washington, D.C.",George H. W. Bush,Dan Quayle,William Rehnquist,Only term,"Commencement of presidency, unique oath administration, record-setting Metro trips, last World War II combat veteran president",N/A,Inauguration of George H. W. Bush
"March 4, 1929","East Portico of the United States Capitol in Washington, D.C.",Herbert Hoover,Charles Curtis,William Howard Taft,Only term,"First inauguration, sound newsreels recording, former President administering oath, Quaker oath controversy, Taft's oath error","""preserve, protect and defend""",Inauguration of Herbert Hoover
"March 4, 1881","East Portico of the United States Capitol in Washington, D.C.",James A. Garfield,Chester A. Arthur,Morrison Waite,Only four-year term,"Assassination 199 days into term, Arthur ascension, denouncement of African-American suffrage impediments, confidence in gold standard, warning against illiteracy, admonition of polygamy, rushed address, inaugural ball details",N/A,Inauguration of James A. Garfield
"March 4, 1857","East Portico of the United States Capitol in Washington, D.C.",James Buchanan,John C. Breckinridge,Roger B. Taney,Only four-year term,"First photographed inauguration, reference to Kansas-Nebraska Act, economic plans, strict interpretation of the Constitution, Navy expansion proposal","""I shall cheerfully accept the opinion of the Supreme Court in the Dred Scott case""",Inauguration of James Buchanan
"March 4, 1845","East Portico of the United States Capitol in Washington, D.C.",James K. Polk,George M. Dallas,Roger B. Taney,Only four-year term,"First telegraphed inaugural ceremony, first newspaper illustration, commencement of only term, unique historical coverage",N/A,Inauguration of James K. Polk
"January 20, 1977","East Portico of the United States Capitol in Washington, D.C.",Jimmy Carter,Walter Mondale,Warren E. Burger,First term,"Last inauguration on East Portico, Chief Justice administering oath, Carter's Family Bible, cold weather, inaugural address highlights","""A new spirit among us all"", ""Reject the prospect of failure or mediocrity"", ""Build a lasting peace on international policies reflecting our values""",Inauguration of Jimmy Carter
"January 20, 2021","West Front of the United States Capitol in Washington, D.C.",Joe Biden,Kamala Harris,N/A,First term,"Oath of office for President and Vice President, limited live audience, COVID-19 precautions, inaugural themes ""America United"" and ""Our Determined Democracy"", culmination of presidential transition, Electoral College vote formalization",N/A,Inauguration of Joe Biden
"March 4, 1797","House of Representatives Chamber of Congress Hall in Philadelphia, Pennsylvania",John Adams,Thomas Jefferson,Oliver Ellsworth,Only four-year term,"Commencement of only term, first Chief Justice oath administration, peaceful succession, legal transition, historic significance",N/A,Inauguration of John Adams
"January 20, 1961","East Portico of the United States Capitol in Washington, D.C.",John F. Kennedy,Lyndon B. Johnson,N/A,First term,"44th inauguration, Kennedy's presidency commencement, Johnson's only term as VP, Kennedy's assassination, narrow victory over Nixon, first Catholic president, youngest elected, 20th-century birth, inaugural address themes, poet Robert Frost participation, Joint Congressional Committee members",N/A,Inauguration of John F. Kennedy
"March 4, 1825",House Chamber of the U.S. Capitol,John Quincy Adams,John C. Calhoun,John Marshall,Only four-year term,"Commencement of only term, first son of former president to be elected, first term of John C. Calhoun, unique oath administration, rainy weather, change in presidential attire",N/A,Inauguration of John Quincy Adams
"March 4, 1837","East Portico of the United States Capitol in Washington, D.C.",Martin Van Buren,Richard Mentor Johnson,N/A,Only four-year term,"Commencement of only term, unique ride to Capitol with Andrew Jackson, last sitting VP to President inauguration, tribute to outgoing president, retention of Jackson's cabinet","""In receiving from the people the sacred trust twice confided to my illustrious predecessor, and which he has discharged so faithfully and so well, I know that I can not expect to perform the arduous task with equal ability and success.""",Inauguration of Martin Van Buren
"March 5, 1877","East Portico of the United States Capitol in Washington, D.C.",Rutherford B. Hayes,William A. Wheeler,N/A,Only four-year term,"Public inauguration, private oath at the White House, divisive election aftermath, tight security, first president to take oath in the White House","""He serves his party best who serves his country best""",Inauguration of Rutherford B. Hayes
"March 4, 1921","East Portico of the United States Capitol in Washington, D.C.",Warren G. Harding,Calvin Coolidge,Edward D. White,Only term,"Commencement of presidency, Harding's oath on Washington Inaugural Bible, Coolidge's separate oath, Harding's death during term, Mencken's critique, first automobile use, Wilson's absence","""It is rumble and bumble. It is flap and doodle. It is balder and dash. But I grow lyrical.""",Inauguration of Warren G. Harding
"March 4, 1841","East Portico of the United States Capitol in Washington, D.C.",William Henry Harrison,John Tyler,Roger B. Taney,Only four-year term,"Commencement of only four-year term, presidential oath by Chief Justice Taney, Harrison's death 31 days into term, Tyler's succession, first president to die in office",N/A,Inauguration of William Henry Harrison
"March 4, 1909","Senate chamber inside the United States Capitol in Washington, D.C.",William Howard Taft,James S. Sherman,Melville Fuller,Only term,"Inauguration moved indoors due to blizzard, Chief Justice Fuller administering oath, Vice President Sherman's death, inaugural parade, First Lady joining parade, use of century-old Bible, choral march ""Our Country""",N/A,Inauguration of William Howard Taft
"March 5, 1849","East Portico of the United States Capitol in Washington, D.C.",Zachary Taylor,Millard Fillmore,Roger B. Taney,Only four-year term,"Second instance of rescheduled inauguration, commencement of term, Taylor's death, Fillmore's succession, heavy snow during inaugural balls, temporary wooden building for guests, ticket price and menu, claim of Atchison as acting president",N/A,Inauguration of Zachary Taylor
"March 4, 1865","East Portico of the United States Capitol in Washington, D.C.",Abraham Lincoln,Andrew Johnson,Salmon P. Chase,Second term,"Commencement of second term, first inauguration with African Americans in parade, Vice President oath at Senate Chamber, Johnson's intoxicated speech, extensive photography, iconic images, memorable inaugural address","""With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations.""",Second inauguration of Abraham Lincoln
"March 4, 1833",House Chamber of the U.S. Capitol,Andrew Jackson,Martin Van Buren,John Marshall,Second term,"Inauguration in House Chamber, snowy weather, Chief Justice swearing-in, Andrew Jackson's health, attendees, unique circumstances",N/A,Second inauguration of Andrew Jackson
"January 20, 2013","West Front of the United States Capitol in Washington, D.C.",Barack Obama,Joe Biden,John Roberts,Second term,"Private swearing-in ceremony, public inauguration ceremony, inauguration theme ""Faith in America's Future"", emphasis on unity and perseverance, events in Washington, D.C., oath administration by Chief Justice Roberts, policy goals in the inaugural address","""While freedom is a gift from God, it must be secured by His people here on Earth""",Second inauguration of Barack Obama
"January 20, 1997","West Front of the United States Capitol in Washington, D.C.",Bill Clinton,Al Gore,William Rehnquist,Second term,"Last 20th-century inauguration, first live internet stream, invocation by Reverend Billy Graham, oath by Ruth Bader Ginsburg, performance by Jessye Norman, oath by Chief Justice Rehnquist, inaugural speech, galas, Martin Luther King Jr. Day celebration","""So help me God""",Second inauguration of Bill Clinton
"March 4, 1925","East Portico of the United States Capitol in Washington, D.C.",Calvin Coolidge,Charles G. Dawes,William Howard Taft,Only full term,"First inauguration broadcast on radio, former president administering oath, vice president oath in Senate Chamber, fiery vice president address, overshadowed presidential address",N/A,Second inauguration of Calvin Coolidge
"January 20, 1957","White House (private) and East Portico of the United States Capitol (public) in Washington, D.C.",Dwight D. Eisenhower,Richard Nixon,Earl Warren,Second and final four-year term,"Private and public inauguration, Senate Minority Leader swearing in the vice president, oath administration by Chief Justice Warren",N/A,Second inauguration of Dwight D. Eisenhower
"January 20, 1937","East Portico of the United States Capitol in Washington, D.C.",Franklin D. Roosevelt,John Nance Garner,N/A,Second term,"First January 20 inauguration, vice president oath on platform, rainy weather, quick dispersal of crowds",N/A,Second inauguration of Franklin D. Roosevelt
"January 20, 2005","West Front of the United States Capitol in Washington, D.C.",George W. Bush,Dick Cheney,William Rehnquist,Second term,"55th inauguration, beginning of second term, Chief Justice administering oath, attendance estimates, inaugural address focus on democracy and human rights","""America's vital interests and our deepest beliefs are now one. From the day of our Founding, we have proclaimed that every man and woman on this earth has rights, and dignity, and matchless value, because they bear the image of the Maker of Heaven and earth.""",Second inauguration of George W. Bush
"March 4, 1793","Senate Chamber of Congress Hall in Philadelphia, Pennsylvania",George Washington,John Adams,William Cushing,Second four-year term,"Commencement of second term, first inauguration in Philadelphia, shortest inaugural address, oath of office administration","""I am again called upon by the voice of my country to execute the functions of its Chief Magistrate...""",Second inauguration of George Washington
"March 4, 1893","East Portico of the United States Capitol in Washington, D.C.",Grover Cleveland,Adlai Stevenson I,Melville Fuller,Second and final four-year term,"Snow during the inauguration, commencement of second term, only term for Vice President Stevenson, unique non-consecutive terms for Cleveland",N/A,Second inauguration of Grover Cleveland
"January 20, 1949","East Portico of the United States Capitol in Washington, D.C.",Harry S. Truman,Alben W. Barkley,Fred M. Vinson,Only full term,"First televised inauguration, air parade, official inaugural ball, week-long celebration, souvenir invitation confusion, large parade attendance, diverse marching units, notable performers, media attention incidents","""the most splendiferous since Franklin D. Roosevelt tried to lift the pall of gloom of 1933 with brave words proclaiming the New Deal""",Second inauguration of Harry S. Truman
"March 4, 1813","United States Capitol in Washington, D.C.",James Madison,Elbridge Gerry,John Marshall,Second four-year term,"Commencement of second term, Vice President Gerry's only term, Chief Justice administering oath, Gerry's death during term, War of 1812 challenges, Madison's inauguration address, inaugural ball hosted by Madisons",Chief Justice Marshall allegedly appeared disgusted when giving the oath of office.,Second inauguration of James Madison
"March 5, 1821",House chamber of the U.S. Capitol,James Monroe,Daniel D. Tompkins,John Marshall,Second four-year term,"Indoor inauguration due to snowstorm, Chief Justice administering oath, Vice President's absence, address highlights achievements and future goals, inaugural ball at Brown's Hotel",N/A,Second inauguration of James Monroe
"January 20, 1965","East Portico of the United States Capitol in Washington, D.C.",Lyndon B. Johnson,Hubert Humphrey,Earl Warren,Only full term,"Second inauguration, Lady Bird Johnson's involvement, Vice President's oath, use of bulletproof limousine, large attendance, last newsreel coverage",N/A,Second inauguration of Lyndon B. Johnson
"January 20, 1973","East Portico of the United States Capitol in Washington, D.C.",Richard Nixon,Spiro Agnew,Warren E. Burger,Second term,"Nixon and Agnew resignations, Ford's VP and President replacements, Burger's oath administration, song dedication, evening festivities, classical music program, deaths of Truman and Johnson, canceled ceremonies",N/A,Second inauguration of Richard Nixon
"January 20, 1985","White House and Capitol Rotunda in Washington, D.C.",Ronald Reagan,George H. W. Bush,Warren E. Burger,Second four-year term,"Oldest president inaugurated, inclement weather, indoor ceremony, oath administration, Jessye Norman performance, parade cancellation, low attendance, replacement event, marching bands performance at EPCOT Center",N/A,Second inauguration of Ronald Reagan
"March 4, 1905","East Portico of the United States Capitol in Washington, D.C.",Theodore Roosevelt,Charles W. Fairbanks,Melville Fuller,Second full term,"Optimistic tone in inaugural address, emphasis on hard work for future success, warning against insolent aggression, importance of relations among Americans, recognition of modern life complexities, encouragement to face future problems head-on","""The problems are not all solved and the battles are not all won, and we stand today on the edge of a New Frontier""",Second inauguration of Theodore Roosevelt
"March 4, 1805",Senate Chamber of the United States Capitol,Thomas Jefferson,George Clinton,John Marshall,Second term,"Commencement of second term, first term of Vice President Clinton, Chief Justice administering oath, landslide election victory, modest ceremony",N/A,Second inauguration of Thomas Jefferson
"March 4, 1873","East Portico of the United States Capitol in Washington, D.C.",Ulysses S. Grant,Henry Wilson,Salmon P. Chase,Second four-year term,"Cold weather, Vice President Wilson's death, Chief Justice administering oath, inaugural ball food freezing, parade, Bible passage choice",N/A,Second inauguration of Ulysses S. Grant
"March 4, 1901","East Portico of the United States Capitol in Washington, D.C.",William McKinley,Theodore Roosevelt,Melville Fuller,Second term,"Commencement of second term, first term of Vice President Roosevelt, Chief Justice administering oath, McKinley's death, Joint Committee on Inaugural Ceremonies, 20th-century inauguration, Bronze Presidential Medal",N/A,Second inauguration of William McKinley
"March 4, 1917","President's Room inside the United States Capitol (private) and East Portico of the Capitol (public) in Washington, D.C.",Woodrow Wilson,Thomas R. Marshall,Edward D. White,Second four-year term,"Private and public inauguration, suffragette protests, Chief Justice administering oath, overshadowed by women's suffrage movement coverage",N/A,Second inauguration of Woodrow Wilson
"January 20, 1941",East Portico of the United States Capitol,Franklin D. Roosevelt,Henry A. Wallace,Charles Hughes,Third full term,"Commencement of third term, only third term inauguration, unique oath administration, family Bible usage, Twenty-second Amendment impact",N/A,Third inauguration of Franklin D. Roosevelt
