Date,Casualties,Perpetrator,Attack Method,Related Events,Location,Locations,13 July 2018,1 July 2018,11 July 2018,9 July 2018,12 July 2018,31 January 2016,21 February 2016,trigger
7 April 2017,"5 dead, 14 injured",Rakhmat Akilov,Vehicle-ramming,"Islamist terrorist attack with hijacked truck on Drottninggatan, crash into Åhléns department store, perpetrator's allegiance to Islamic State, apprehension of Akilov, self-recorded video pledging allegiance, conviction, sentencing, choice of attack time, specific details of the attack, including targeting of children, hijacking of Spendrups truck, and impact on pedestrians","Stockholm, Sweden",,,,,,,,,2017 Stockholm truck attack
7 June 2017,"17 dead, 43 wounded",Islamic State of Iraq and the Levant,Shootings,"First major terror attack in Iran since 2010, first terrorist attacks in Tehran in over a decade, foiled third attack, identification of five militants, accusations against American, Israeli, and Saudi governments, demands from Riyadh, state funeral, killing of operational commander, IRGC missile strike on ISIL headquarters",,"Tehran, Iran (Parliament building and Mausoleum of Ruhollah Khomeini)",,,,,,,,2017 Tehran attacks
25 July 2018,"At least 258 killed, 180 injured",Islamic State of Iraq and the Levant,"Suicide bombings, gun attacks","Attacks targeting Syria's Druze minority, assault on defensive positions, detonation of explosive vests, suicide attacks in Suweida, temporary control of settlements, local defense efforts, involvement of Druze militias, public hanging of captured ISIL fighters, updated casualty figures","As-Suwayda, Syria",,,,,,,,,2018 As-Suwayda attacks
27 January 2018,"103 killed, 235 wounded",Taliban,Vehicle-borne improvised explosive device,"Third major attack in seven days, explosion near interior ministry building, heavily-guarded street, powerful shock felt around the capital, collapse of buildings, destruction of façades, proximity to Jamhuriat Hospital, government offices, businesses, and school, attack on Chicken Street, use of ambulance as disguise, detonation at second police checkpoint, destruction of vehicles, shops, and buildings, description as a ""massacre"", driver detonated bomb at checkpoint, queuing of relatives at city morgue","Kabul, Afghanistan",,,,,,,,,2018 Kabul ambulance bombing
11 December 2018,"5 dead, 11 wounded",Chérif Chekatt,"Shooting, stabbing","Terrorist attack at Christkindelsmärik Christmas market, attacker killed in shootout, pledged allegiance to ISIL, historical significance of market, foiled bombing plot in 2000, previous arrests for terrorist planning, police raid on Chekatt's home, attack details and locations","Strasbourg, France",,,,,,,,,2018 Strasbourg attack
21 April 2019,"269 killed, at least 500 injured",National Thowheeth Jama'ath,Suicide bombings,"Second wave of attacks planned, stopped by government raids, association with NTJ, suspected foreign ties, retaliation for Christchurch mosque shootings, stockpiling of explosives, Amaq News Agency claim of ISIL involvement, Abu Bakr al-Baghdadi praise",,"Three churches in Sri Lanka (Negombo, Batticaloa, Colombo), three luxury hotels in Colombo, housing complex in Dematagoda, guest house in Dehiwala",,,,,,,,2019 Sri Lanka Easter bombings
2 November 2020,"4 dead, 23 injured",ISIL sympathizer,Shooting,"Lone gunman shooting in Vienna city center, incident of Islamist terrorism, COVID-19 lockdown imminent, attacker armed with rifle, handgun, and machete, wearing fake explosive belt, shot dead by police near St. Rupert's Church, victims identified, response by law enforcement, timing of attack before curfew and lockdown, nationalities of victims and wounded, critical injuries suffered, specific locations of shootings","Vienna, Austria (Seitenstettengasse, Morzinplatz, Salzgries, Fleischmarkt, Bauernmarkt, Graben)",,,,,,,,,2020 Vienna attack
26 August 2021,"183 killed (including 170 Afghan civilians and 13 US military members), 10 Afghan civilians killed in a subsequent drone strike",Islamic State – Khorasan Province,Suicide bombing,"First American military casualties in Afghanistan since February 2020, US airstrike against IS-KP members, drone strike targeting Afghan aid worker, security concerns after Taliban takeover, warnings of terrorist attack, evacuation from Afghanistan","Kabul, Afghanistan",,,,,,,,,2021 Kabul airport attack
4-6 January 2022,Over 200 killed,Bandits,"Gunmen on motorcycles, looting, burning homes","Deadliest terrorist attack in recent Nigerian history, part of the Nigerian bandit conflict, linked to farmer-herder conflicts and Boko Haram insurgency, ongoing attacks in northwestern states, mass kidnappings, massacres, government airstrikes prior to attacks, bandits designated as terrorists, raid on cattle leading to gunfight, siege on towns, military intervention","Zamfara State, Nigeria",,,,,,,,,2022 Zamfara massacres
,,,,,,,,,,,,"Second attack on Sayyidah Zaynab Mosque, targeting Shi'ite town, claims of responsibility, previous attacks in February 2015","Third attack near Sayyidah Zaynab Mosque, high casualties, attack details, claims of responsibility",February 2016 Sayyidah Zaynab bombings
11 January 2016,"132 killed, 19 injured",Islamic State of Iraq and the Levant,"Car bombings, hostage-taking, suicide bombing","Attacks on Al-Jawhara shopping mall, cafe in Muqdadiyah, tea shop, and mosque in Sharaban, hostages taken, Sunni homes and mosque set on fire, multiple explosions, ISIL claim of responsibility",,"Baghdad and Miqdadiyah, Iraq",,,,,,,,January 2016 Iraq attacks
22 May 2017,"23 dead, 1,017 injured",Salman Ramadan Abedi,Suicide bombing,"Islamist extremist suicide bombing at Manchester Arena following Ariana Grande concert, deadliest terrorist attack in the UK since 2005 London bombings, Abedi largely acted alone, brother Hashem Abedi found guilty, initial suspicions of terrorist network, Abedi reported to security before attack, explosive device packed with shrapnel, attack during Dangerous Woman Tour concert, incident declared as a terrorist attack and suicide bombing","Manchester, England",,,,,,,,,Manchester Arena bombing
17 May 2016,"101 killed, 194 injured",Islamic State of Iraq and the Levant,"Suicide bombings, car bombings, bomb blasts","Series of bombings in Baghdad, targeting Shia neighborhoods, multiple locations hit, high death toll and injuries, ISIL claim of responsibility, preceding attacks in Taji, wave of attacks in the region",,"Baghdad, Iraq (Sha'ab, Sadr City, al-Rashid, Dora, Habibiya, al-Amin)",,,,,,,,May 2016 Baghdad bombings
23 May 2016,"184 killed, at least 200 injured",Islamic State of Iraq and the Levant,Bombings,"Attacks on Jableh National Hospital and bus station in Tartus, doctors and nurses among the dead, bombings in government-controlled territory with Russian military bases, accusations against Qatar, Saudi Arabia, and Turkey, attacks in relatively peaceful areas, facilities no longer operational",,"Jableh and Tartus, Syria",,,,,,,,May 2016 Jableh and Tartous bombings
31 May 2017,"Over 150 killed, 413 injured",Haqqani Network (suspected),Truck bomb explosion,"Deadliest terror attack in Kabul, near German embassy, mostly civilians affected, damage to buildings, Afghan Taliban suspected but denied involvement, NATO-supported Afghan Government, Taliban and Islamic State attacks in preceding months, potential US troop deployment, vacuum truck with 1,500 kg of explosives detonated during rush hour at Zanbaq Square","Kabul, Afghanistan",,,,,,,,,May 2017 Kabul attack
24 November 2016,"At least 125 killed, many injured",Islamic State of Iraq and the Levant,Suicide truck bombing,"Attack on Shia pilgrims returning from Arba'een Pilgrimage, explosion at petrol station, part of series of bombings in Baghdad, bomb packed with 500 liters of ammonium nitrate, significance in context of Mosul offensive","Hillah, Iraq",,,,,,,,,November 2016 Hillah suicide truck bombing
