Event,Start Date,Locations Affected,Casualties,Significant Impacts,Contributing Factors,End Date,Displaced People,Missing Persons,Houses Destroyed,Crops Inundated,Total Damages (Yuan),States Affected,Estimated Damages,Evacuees,Injured Individuals,trigger
2006 North Korea Floods,July 2006,"Kangwon, Kaesong, South Pyongan, South Hamgyong, South Hwanghae, other provinces",549 deaths,"Extensive damage, loss of life, 58,000 people dead or missing, 1.5 million homeless, $20 million aid pledged by South Korea","Heavy rainfall, flooding, destruction of agricultural land, displacement of thousands of families",N/A,"60,000 homeless",295 missing,,,,,,,,2006 North Korean floods
2006-2007 Southeast Asian Floods,18 Dec 2006,"Malaysia, Singapore, Indonesia",6 deaths,"Massive floods, abnormally high rainfall, rivers and dams overflowed, worst flooding in a century","Above average rainfall, Typhoon Utor, heavy rains up to 350mm, worst in history of southern Malaysia",13 Jan 2007,,,,,,,,,,2006–07 Southeast Asian floods
2007 Africa Floods,"September 14, 2007",Over 14 countries in Africa,250 deaths,"1.5 million affected, waterborne diseases, locust infestations, villages wiped out, crops and livestock washed away","Heavy rainfall, dam collapse, displacement of thousands, warnings from UN",,"400,000 homeless",,,,,,,,,2007 African floods
2007 Bihar Flood,August 2007,"Bihar, Uttar Pradesh","1,287 deaths","Worst flood in Bihar in 30 years, 10 million people affected, 180 relief camps established, major rivers flowing above danger mark","Heavy rainfall, high population density, major rivers overflowing",N/A,,,,,,,,,,2007 Bihar flood
2007 Jakarta Flood,"February 2, 2007","Jakarta, West Java, Banten",80 deaths,"70,000 homes flooded, 1,066 patients treated for diarrhea, Rp 8 trillion in losses, 190,000 affected by flood-related illnesses","Heavy rain, deforestation, clogged waterways, peak rain intensity in February, uncontrolled population growth, poor land use planning",N/A,"500,000 displaced",Not specified,,,,,,,,2007 Jakarta flood
2007 Midwest Flooding,August 2007,"Illinois, Indiana, Iowa, Minnesota, Ohio, Wisconsin",5 deaths,"Flash flooding, Federal Disaster Areas declared in multiple states, persistent storm system causing repeated flooding","Clash of cool Canadian air with warm moist air from the Gulf, stationary front producing torrential rains",,,,,,,,,,,2007 Midwest flooding
2007 Mozambican Flood,Dec 2006,"Tete, Manica, Sofala, Zambezia provinces, Inhambane, Zambezi River valley",29 deaths,"Cahora Bassa Dam overflow, Cyclone Favio, flooding of Zambezi, Chire, and Rivubue rivers, evacuation of 80,600 people, food aid distribution","Heavy rains, cyclone impact, river overflow, evacuation efforts, food aid distribution",Ongoing,"121,000 displaced",Not specified,,,,,,,,2007 Mozambican flood
2007 North Korea Floods,August 2007,"Southern half of North Korea, including Pyongyang and agricultural regions",Not specified,"Extensive damage, loss of crop land, potential famine, widespread flooding","Torrential rains, lack of ability to feed people, previous year's flooding, quick request for assistance",N/A,Not specified,Not specified,,,,,,,,2007 North Korean floods
2007 Shandong Coal Mine Flood,"August 17, 2007","Xintai, Shandong, China",181 deaths,"Flooding of mine shafts, inundation of mine, breach of levee, overwhelming of pumps, no recovery of miners","Heavy rainfall, river bursting levee, inadequate pumping capacity",N/A,N/A,9 missing,,,,,,,,2007 Shandong coal mine flood
2007 South Asian Floods,June 2007,"India, Nepal, Bhutan, Pakistan, Bangladesh","2,000+ deaths","20 million displaced, 30 million affected, worst flooding in living memory, abnormal monsoon patterns","Abnormal monsoon patterns, melting snow from Himalayan glaciers, landfall of Cyclone 03B, increased water levels in rivers",N/A,,,,,,,,,,2007 South Asian floods
2007 UK Floods,June 2007,"Scotland, East Yorkshire, Midlands, Gloucestershire, Herefordshire, Worcestershire, Oxfordshire, Berkshire, South Wales",Not specified,"Record-breaking rainfall, widespread flooding, biggest rescue efforts in peacetime Britain, critical flood levels","Wettest May-July period since 1776, active frontal systems, upper trough triggering thunderstorms, slow-moving low pressure systems",July 2007,,,,,,,,,,2007 United Kingdom floods
2008 Bihar Flood,18 August 2008,"Northern Bihar, Indo-Nepal border, Kosi alluvial fan area",Not specified,"Breach in Koshi embankment, flooding of villages, affecting over 2.3 million people","Heavy monsoon rains, poor maintenance, breach in embankment, changing course of river",,,,,,,,,,,2008 Bihar flood
2008 Indian Floods,June 2008,"Maharashtra, Andhra Pradesh, Bihar, West Bengal, Orissa, Konkan region of Maharashtra, Mumbai, Pune, Lonavla, Chiplun, Rajapur, Khed, Mahad, Hyderabad, Guntur, Krishna, East Godavari, West Godavari","2,404 deaths","Heavy rainfall, floods, landslides, disruption of transportation, stranded passengers, relief camps, cancellation of trains, diverted traffic, waterlogging","Monsoon season, heavy rains, sudden downpours, landslides, cancellation of trains, disruption of rail services",September 2008,,,,,,,,,,2008 Indian floods
2008 Namibia Floods,Early Feb 2008,"Omusati, Oshikoto, Oshana, Ohangwena, Caprivi",42 deaths,"65,000 people affected, 40,000 assisted by Namibian Red Cross, outbreak of cholera, activation of International Charter for ""Space and Major Disasters""","Rapid onset of heavy rains, worst floods in 50 years, damage to farmland, housing, schools, roads, infrastructure",,,,,,,,,,,2008 Namibia floods
2008 Santa Catarina Floods,November 2008,"Santa Catarina, Brazil",128 deaths,"1.5 million affected, towns cut off, electricity and water issues, state of emergency declared","Heavy rainfall, wet soil, landslides, constant rain for two months",,"78,700 evacuated",,,,,,,,,2008 Santa Catarina floods
2008 South China Floods,26 May 2008,Fifteen provinces in Eastern and Southern China,271 deaths,"Torrential rains, landslides, flooding, 1.3 million evacuated, heavy rain continuing, 30-70% more precipitation forecasted","Four rounds of torrential rains, landslides, flooding, cloud seeding, emergency levels raised, heaviest rainstorm in 50 years",,,,,,,,,,,2008 South China floods
2008 Vietnam Floods,"October 30, 2008","North and central Vietnam, southern parts of the People's Republic of China",66 deaths,"Heaviest rainfall in 24 years, worst floods in Hanoi since 1984, 15,000 families evacuated, extensive damage to infrastructure and agriculture","Three days of heavy rainfall, worst floods in Hanoi since 1984, 15,000 families evacuated, 100 schools, 100,000 houses, 241,000 hectares of crops, and 25,400 hectares of fish farms submerged or damaged",N/A,,,,,,,,,,2008 Vietnam floods
"2009 Angola, Namibia, Zambia Floods",Early March 2009,"Namibia (7 regions), Zambia (3 provinces), Angola (2 regions), Botswana (part)",131 deaths,"445,000 people affected, 300,000 displaced, damage to buildings and infrastructure, state of emergency declared, fear of disease epidemic","Heavy rain, more rainfall than previous years, equatorial depression, La Niña effects",Ongoing,,,,,,,,,,"2009 Angola, Namibia and Zambia floods"
2009 Brazilian Floods & Mudslides,April 2009,"Five northeastern states of Brazil - Maranhão, Santa Catarina, Amazon River Basin, Bahia, Amazonas",39 deaths,"270,000 homeless, second-heaviest flood in Amazon River Basin in 100 years, worst floods in Brazil in 20 years","Heavy rain, mudslides, homelessness, state of emergency declarations",Ongoing,,,,,,,,,,2009 Brazilian floods and mudslides
2009 El Salvador Floods,"Nov 6, 2009","San Salvador, La Paz, Cuscatlan, Usulutan, San Vicente",130 deaths,"108 landslides, 209 buildings destroyed, 1,835 buildings damaged, 18 bridges affected, 10,000 in need of food assistance","Low-pressure system from the Pacific, heavy rainfall, mud and rock slides","Nov 9, 2009",,60 missing,,,,,,,,2009 El Salvador floods and mudslides
2009 European Floods,June 2009,"Austria, Czech Republic, Germany, Hungary, Poland, Romania, Serbia, Slovakia, Turkey",At least 13 deaths,"Worst natural disaster in the Czech Republic since 2002 floods, severe flooding in Germany and Austria, heavy rainfalls in Austria, worst flooding in Dresden in over a century","Heavy rains causing overflowing of rivers Oder, Vistula, Elbe, and Danube, low pressure areas and thunderstorms, Quinton Low system, Atlantic infusion of cold air",N/A,,,,,,,,,,2009 European floods
2009 India Floods,July 2009,"Karnataka, Orissa, Kerala, Gujarat, North-East Indian states","At least 36 in Orissa, 13 in Kerala","Half a million homes inundated, fatalities in Orissa, bus accident in Nayagarh, Sun Temple water-logged",,,,,,,,,,,,2009 India floods
2009 Saudi Arabian Floods,25 November 2009,"Jeddah, Makkah Province",122 deaths,"Worst floods in 27 years, heavy rainfall, drowning in cars, vehicles swept away, billion riyals in business losses","Heaviest rainfall in a decade, poor drainage system, annual Hajj pilgrimage, location prone to flooding",N/A,Not specified,350 missing,,,,,,,,2009 Jeddah floods
2009 Karachi Floods,17 July 2009,"Karachi, Pakistan",26 deaths,"Heaviest rains in thirty years, hundreds of homes damaged, drowning, electrocution, collapsing roofs, injuries, property damage, power outages, relief efforts","Delayed monsoon, very heavy rains, record-breaking rainfall, ongoing recovery efforts",N/A,Not specified,Not specified,,,,,,,,2009 Karachi floods
2009 Messina Floods,1-2 October 2009,"Province of Messina, Giampilieri Superiore, Scaletta Zanclea, Altolia, Briga Superiore",At least 31 deaths,"Houses collapsed, people left homeless, mudslides, property damage, evacuation efforts","Sudden downpour of rain, strong winds, lightning, large mudslides, extreme weather conditions",,,,,,,,,,,2009 Messina floods and mudslides
2009 Southeastern US Floods,September 2009,"Northern Georgia, Tennessee, Alabama, Mississippi, Arkansas, Atlanta metropolitan area",10 deaths,"Historic flooding, $500 million in damages, 17 counties with Federal Disaster Declarations, 500-year flood levels, breaking century-old records","Continuous rain, moisture from Gulf of Mexico, faster runoff than drainage, large rain event, flash flood warnings",N/A,"20,000 affected",Not specified,,,,,,,,2009 Southeastern United States floods
2009 Turkish Flash Floods,9 September 2009,"Istanbul, Tekirdağ, Marmara Region of Turkey",At least 31 deaths,"$70 million in damage, worst rainfall in 80 years, flash floods, stranded individuals, infrastructure damage","Two-day heavy rainfall, worst in 500 years, unplanned urbanization, inadequate infrastructure",,,,,,,,,,,2009 Turkish flash floods
2009 West Africa Floods,June 2009,"Burkina Faso, Benin, Ghana, Niger, Senegal, Guinea, 12 countries in total",193 deaths,"Destruction of houses, bridges, roads, crops, displacement of 150,000 people in Burkina Faso, heavy rainfall in Ouagadougou, El Niño effect","Exceptionally heavy seasonal rainfall, rivers breaking banks, West African monsoon, El Niño warming of Pacific Ocean",N/A,"940,000 affected",Not specified,,,,,,,,2009 West Africa floods
2010 Arkansas Floods,"June 11, 2010","Langley, Arkansas, United States","At least 20 deaths, 24 missing","Flash floods, heavy rainfall, Little Missouri and Caddo rivers flooded, swept through campsites in Ouachita National Forest","Heavy rain on June 10-11, rivers rose rapidly, warnings issued but may not have been heard due to remoteness",,,,,,,,,,,2010 Arkansas floods
2010 Central European Floods,May 2010,"Poland, Austria, Czech Republic, Hungary, Slovakia, Serbia",37 deaths,"Deaths, evacuations, state of emergency in Kraków, closure of Auschwitz museum, economic cost, unprecedented natural disaster","Two months' worth of rain in 24 hours, closure of Auschwitz museum, state of emergency in Kraków, high Vistula river level",June 2010,"23,000 evacuated",Not specified,,,,,,,,2010 Central European floods
2010 China Floods,May 2010,"28 provinces, municipalities, and regions in China","3,185 deaths","Severe flooding, landslides, millions evacuated, houses destroyed, crops destroyed, billions in damages",,Ongoing,15.2 million,232 missing,1.36 million,"97,200 km2",275 billion,,,,,2010 China floods
2010 Colombian Rainy Season,June 2010,Colombia,174 deaths,"Widespread flooding, landslides, 70% of the country affected, 2.2 million homeless, 301 total deaths","Remnants of Hurricane Tomas, La Niña, Intertropical Convergence Zone, heavy rainfall, unstable grounds",Ongoing,1.5 million,19 missing,,,,,,,,2010 Colombian rainy season
2010 Thailand and Malaysia Floods,October 2010,"Northeast and Central Thailand, Bangkok, South Thailand, Kedah, Perlis",232 deaths,"7 million affected, destruction of property, livelihood, and infrastructure, 38 provinces hit by floods","Abnormally late monsoon moisture, overflowed rivers, tropical depression, La Niña monsoon rains",November 2010,,,,,,,,,,2010 floods in Thailand and north Malaysia
2010 Ladakh Floods,6 August 2010,"Ladakh, Jammu and Kashmir",255 deaths,"Flash floods, mudflows, debris flows, extensive damage to property and infrastructure, 71 towns and villages damaged","Cloudburst, heavy overnight rains, sparse rainfall in the region, spatially variable rainfall distribution",,9000 affected,200 missing,,,,,,,,2010 Ladakh floods
2010 Madeira Floods,20 February 2010,"Madeira Island, Portugal",51 deaths,"Flash floods, mudslides, 250 injured, 108 mm of rain in Funchal, 165 mm of rain at Pico do Arieiro, heavy damage in Funchal, airport closure, bridges washed away","Active cold front, Atlantic low-pressure area, unusually strong temperature contrast, abnormally warm waters, eruption cloud of Soufrière Hills volcano",N/A,600 homeless,6 missing,,,,,,,,2010 Madeira floods and mudslides
2010 Northeast Brazil Rains,June 2010,"Alagoas, Pernambuco",44 deaths,"Widespread flooding, villages carried away, destruction of towns, dams burst, electricity and telephone services disrupted","Heavy rainfall, river levels rose, isolated rural areas, few intact roads",N/A,"120,000 displaced","1,000 missing",,,,,,,,2010 Northeastern Brazil floods
2010 Pakistan Floods,Late July 2010,"Khyber Pakhtunkhwa, Sindh, Punjab, Balochistan","1,985 deaths","Extensive damage to infrastructure and crops, economic impact of up to US$43 billion, widespread displacement","Heavy monsoon rains, Indus River basin, rainfall anomaly attributed to La Niña",,,,,,,,,,,2010 Pakistan floods
2010 Romanian Floods,Late June 2010,"Suceava County, Chernivtsi Oblast in Ukraine, Alba, Arad, Bacău, Botoșani, Brașov, Cluj, Hunedoara, Iași, Mehedinți, Neamț, Olt, Prahova, Sălaj, Sibiu, Suceava, Timiș, Tulcea, Vâlcea, Vrancea",At least 21 deaths,"Hundreds evacuated, dozens of collapsed houses, hundreds of damaged homes, flooding, road washouts, emergency services reinforcement of dykes","Extreme weather, heavy rainfall, river threats, weather advisories, collapsed houses, evacuation efforts",,,,,,,,,,,2010 Romanian floods
2010 Tennessee Floods,"May 1, 2010","Middle Tennessee, West Tennessee, south-central and western Kentucky, northern Mississippi",Not specified,"1,000-year floods, widespread property damage, record-breaking rainfall, river crests, deaths","Stalled frontal boundary, very moist air from the Gulf, repeated rounds of heavy rainfall, Doppler radar estimates","May 2, 2010",Not specified,Not specified,,,,,,,,2010 Tennessee floods
2010 Var Floods,15 June 2010,"Var, France",25 deaths,"Severe floods, flash floods, worst in the region since 1827, over 400 mm of rain in less than 24 hours","Heavy rainfall, worst floods since 1827, 25 fatalities",,,,,,,,,,,2010 Var floods
2010 West Papua Floods,6 October 2010,West Papua,145 deaths,"River overflow, landslides, Indonesian President visit, evacuations, aid miscommunication, relocation program","Heavy rains, river overflow, landslides, miscommunication, relocation program",,,,,,,,,,,2010 West Papua floods
2010 Philippines Floods,Late December 2010,"Visayas, Bicol, Caraga regions, 19 provinces including Albay, Sorsogon, Southern Leyte, Misamis Oriental",25 deaths,"Widespread flooding, displacement of over 1.2 million people, heavy rains, state of emergency in Albay, mandatory evacuations, La Niña effect","Tail end of a ""cold front"", abnormally heavy rains, twice the regular amount, forecasted northerly track, stronger rainfall due to La Niña",Ongoing,"452,999 displaced",Not specified,,,,,,,,2010–11 Philippine floods
2010 Queensland Floods,November 2010,"Queensland, Australia",33 deaths,"Evacuation of thousands, $2.38 billion in damage, reduction in Australia's GDP, 90 towns affected, 33 deaths, 3 missing, significant flooding in various rivers","Heavy rainfall, flash floods, thunderstorm, Brisbane River rise, Wivenhoe Dam flood mitigation, Australian Defence Force mobilization",Ongoing,"200,000 affected",3 missing,,,,,,,,2010–11 Queensland floods
2010–2011 Southern Africa Floods,December 2010,"South Africa, Mozambique, Zimbabwe",141 deaths,"Displacement of thousands, evacuations, 6,000 displaced in South Africa, 13,000 evacuated in Mozambique","La Niña event, above-average rains, global weather pattern, disaster zones declared, crop and property damage",Ongoing,,,,,,,,,,2010–11 Southern Africa floods
2011 China Floods,June 2011,"Central and Southern China, 12 provinces and autonomous regions",178 deaths,"Heavy rain, economic losses of nearly US$6.5 billion, flooding, mudslides, tropical storms, evacuations","Heavy rain, tropical storms, level 3 and 4 emergency alerts, severe tropical storm Meari",September 2011,,,,,,,,,,2011 China floods
2011 Europe Floods,Late October 2011,"Spain, France, Italy, Ireland, North Africa",12 deaths,"Thousands of homes and businesses destroyed, state of emergency declared in multiple regions, major emergency in Dublin, evacuation of shopping center, road closures","Series of storms including Cyclone Meeno and Tropical Storm Rolf, heavy rain, flash floods, mudslides",Early November 2011,,,,,,,,,,2011 European floods
2011 Kohistan Floods,August 2011,"Kohistan District, Khyber Pakhtunkhwa, Pakistan",63 deaths,"Destruction of houses, settlements, livestock, vegetation, most destructive floods since 2010 Pakistan floods","Overnight heavy rains, flash floods",,,,,,,,,,,2011 Kohistan floods
2011 Mississippi River Floods,April 2011,"Illinois, Missouri, Kentucky, Tennessee, Arkansas, Mississippi, Louisiana",348 deaths,"Record rainfall, swelling of river and tributaries, opening of Morganza Spillway, deliberate flooding, evacuation orders","Record rainfall, springtime snowmelt, opening of Morganza Spillway, deliberate flooding, storm systems",May 2011,,,,,,,,,,2011 Mississippi River floods
2011 Seoul Floods,Late July 2011,"Seoul, Siheung regions, South Korea",77+ deaths,"Flash floods, landslides, power outages, evacuation of thousands, infrastructure damage, economic losses","Heavy rainfall, flash floods, landslides, power outages, evacuation orders, economic inflation",N/A,"11,000+ evacuated",77+ missing,,,,,,,,2011 Seoul floods
2011 Sindh Floods,11 Aug 2011,"Sindh Province, Pakistan",434 deaths,"Severe flooding in 16 districts, 5.3 million people affected, 1,524,773 homes affected","Unprecedented torrential monsoon rains, strong weather pattern from Indian states, record-breaking rainfall in Badin and Mithi",14 Sep 2011,,,,,,,,,,2011 Sindh floods
2011 Southeast Asia Floods,August 2011,"Thailand, Cambodia, Myanmar, Vietnam, Laos, Philippines","2,828 deaths","2.3 million affected in Thailand, 1.2 million affected in Cambodia, series of storms in the Philippines, billion-dollar losses, severe parts shortages, technology sector disruptions","Monsoon season, typhoon season, series of storms and typhoons, flooding in multiple countries",Ongoing,,,,,,,,,,2011 Southeast Asian floods
2011 Thai Floods,March 2011,"Southern Thailand, 50 provinces affected",53 deaths,"9 million people affected, 160,000 ha submerged, 5,000 households evacuated, state of emergency declared","Record cold wave, near-normal sea surface temperatures, persistent flooding, potential climate change influence",,,,,,,,,,,2011 Southern Thailand floods
2011 Thailand Floods,July 2011,"Northern, northeastern, and central Thailand, Bangkok, Mekong and Chao Phraya river basins",815 deaths,"13.6 million people affected, 65 provinces declared flood disaster zones, 20,000 sq km farmland damaged, economic losses of 1,425 trillion baht","Triggered by Tropical Storm Nock-ten, worst flooding in terms of water and people affected, industrial estates inundated, global hard disk drive shortage",January 2012,,,,,,,,,,2011 Thailand floods
2012 Himalayan Flash Floods,3 August 2012,"Uttarakhand, Himachal Pradesh, Northern India",31 deaths,"Landslides, flash floods, houses washed away, suspension of Char Dham yatra, infrastructure damage","Sudden cloudburst, torrential rain, landslides, flash floods, collapse of bridges and roads",,,40 missing,,,,,,,,2012 Himalayan flash floods
2012 Krasnodar Krai Floods,July 2012,"Krasnodar Krai, Black Sea coast of Russia",171 deaths,"Intense storm, five months of rain in one night, 30,000 people affected, 275mm of rain, 7m flood wave","Intense storm, inadequate warning, negligence of local authorities",,,,,,,,,,,2012 Krasnodar Krai floods
2012 Luzon Southwest Monsoon Floods,"August 1, 2012","Luzon, Philippines - Metro Manila, Calabarzon region, Central Luzon",95 deaths,"Marikina River overflow, landslides, collapsed infrastructure, extensive damage to homes","Southwest monsoon, influenced by Typhoon Saola and Typhoon Haikui","August 8, 2012",,,,,,,,,,2012 Luzon southwest monsoon floods
2012 Nigeria Floods,Early July 2012,,363 deaths,,"Seasonal flash floods, poor drainage, heavy rains, worst floods in 40 years",,2.1 million,,,,,30 states,N2.6 trillion,,,2012 Nigeria floods
2012 North Korean Floods,Mid-July 2012,"North Korea, South Korea",At least 88 deaths,"Severe damage to public buildings and factories, submerging of crop lands, international assistance requested","Tropical Storm Khanun, torrential rains, additional rainfall in August",N/A,"62,900 homeless",Not specified,,,,,,,,2012 North Korean floods
2012 Pakistan Floods,Early September 2012,"Khyber Pakhtunkhwa, Upper Sindh, Southern Punjab, Balochistan",Over 100 deaths,"Flash floods, destruction, breaking a 24-year rainfall record, leaving districts cut off","Heavy monsoon rains, low pressure Monsoon system, emergency weather advisories",,,,,,,,,,,2012 Pakistan floods
2013 Buenos Aires Floods,1 April 2013,"Buenos Aires Province, Argentina - Greater La Plata, Greater Buenos Aires",101 deaths,"Worst flooding in La Plata's history, flash floods, widespread power outages, national mourning declared","Severe storm, heavy rainfall, worst April rainfall on record, 400 mm of rain in La Plata, flash floods, power outages",3 April 2013,,,,,,,,,,2013 Argentina floods
2013 Bihar Flood,July 2013,"20 districts of North Bihar - Kishanganj, Araria, Purnia, Katihar, Eastern Champaran, Western Champaran, Darbhanga, Madhubani, Muzaffarpur, Sitamadhi, Shivar, Samastipur, Gopalganj, Saran, Siwan, Supaul, Madhepura, Saharsa, Khagaria",201 deaths,"Massive loss of life and property, over 5.9 million people affected, 3,768 villages impacted, CM Nitish Kumar overseeing relief operations","Monsoon season, continuing rain in Himalayas, rise in water levels of Ganges, Kosi, Gandak, Baghmati, Punpun",,,,,,,,,,,2013 Bihar flood
2013 Russia-China Floods,Mid-August 2013,"Heilongjiang, Jilin, Liaoning provinces in China, Amur Oblast, Jewish Autonomous Oblast, Khabarovsk Krai in Russia",85 deaths,"Heavy flooding, destruction of 60,000 homes, evacuation of 840,000 people, record water levels, ruined farmland, power and communication disruptions","Unusually heavy rainfall, flooding near Amur River, worst flooding in over a decade, record water levels, significant economic damage",Ongoing,"840,000 displaced",105 missing,,,,,,,,2013 China–Russia floods
2013 Central Europe Floods,Late May 2013,"South and east German states, western Czech Republic, Austria, Slovakia, Poland, Hungary",Not specified,"Extreme flooding, damages in multiple countries, high water levels along Elbe and Danube basins","Wet spring, record rainfall in May 2013, saturated soils, low-pressure system ""Christoffer""",Early June 2013,,,,,,,,,,2013 European floods
2013 Jakarta Flood,15 January 2013,"Jakarta, West Java, Banten",47 deaths,"Severe flooding, collapse of dike, clogged waterways, low-lying areas, high tides, heavy rain, debris","Poor sewage system, land clearing, trash disposal, inadequate infrastructure",,,,,,,,,,,2013 Jakarta flood
2013 Uttarakhand Floods,June 2013,"Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Western Nepal, Western Tibet","6,054 deaths","Devastating floods, landslides, destruction of bridges and roads, trapping of pilgrims and tourists, massive evacuation efforts","Mid-day cloudburst, excessive rainfall, debris blockage in rivers, cyclonic circulation, intense western disturbances",,,,,,,,,,,2013 North India floods
2013 Pakistan & Eastern Afghanistan Floods,August 2013,"Pakistan, Eastern Afghanistan",Over 180 deaths,"Flash flooding, monsoon season, recurring floods in the region, widespread damage","Heavy rainfall, monsoon season, flash flooding, historical flooding in the area",,,,,,,,,,,2013 Pakistan–Afghanistan floods
2013 Sardinia Floods,17 November 2013,"Olbia, Gallura, northeastern Sardinia",18 deaths,"Damages over 1 billion euro, thousands left homeless, flooding of villages and towns, overflowing rivers","Extratropical cyclone, Cyclone Cleopatra, slow-moving thunderstorm complexes, heavy rainfall",19 November 2013,,,,,,,,,,2013 Sardinia floods
2013 Indochina Monsoon Season Flooding,2013,"Cambodia, Vietnam, Thailand, Laos, Myanmar, Philippines",83 deaths,"Flooding, typhoon damage, annual occurrence in Southeast Asia, poverty impact, infrastructure development","Monsoon season, deforestation, land subsidence, poor drainage, typhoon occurrences",Ongoing,,,,,,,,,,2013 Southeast Asian floods
2013 China Floods,July 2013,"Southwest China, 20 provinces affected",73 deaths,"Heaviest rainfall in 50 years, widespread flooding, landslides, destruction of infrastructure, multiple landslides, bridge collapses","Heavy rainfall, mountainous regions, landslides, bridge failures, high flow rates",,6 million affected,180 missing,,,,,,,,2013 Southwest China floods
2013 Sudan Floods,August 2013,"Khartoum, Northern, River Nile, Gezira, Red Sea, Sennar, North Kordofan, Gedaref, North Darfur, Blue Nile, White Nile, South Darfur, Kassala, South Kordofan, Abyei, West Kordofan",50 deaths,"Over 300,000 people affected, 25,000 homes destroyed, property damage in 14 states, public health concerns, 15,000 homes destroyed in Khartoum, worst flooding in 25 years","Continuous heavy rains, flash floods, poor drainage, urban planning issues, severe damage in Khartoum and Blue Nile",,,,,,,,,,,2013 Sudan floods
2014 Baghlan Flood,7 June 2014,"Baghlan, Afghanistan",73-200 deaths,"Destruction of infrastructure, houses, bridges, roads, displacement of thousands, lack of emergency aid","Annual rainy season, flimsy building materials, recent flooding, powerful winds, heavy rain, hail",N/A,Not specified,200 missing,,,,,,,,2014 Baghlan floods
2014 Romania-Bulgaria Floods,"June 19, 2014","Northeastern Bulgaria, Constanța County in Romania",16 deaths,"Severe flash flooding, villages without electricity, submerging of cities, damage in Romania, heavy rain and hailstorms","Torrential rains, Mediterranean cyclone, official warning of intensive rain and hailstorms, high rainfall rates",N/A,Not specified,Not specified,,,,,,,,2014 Bulgarian floods
