Date,Location,Casualties,Cause,Impact,Injuries,Additional Information,Key Information,Locations,Causes/Suspected Causes,Government Response,Denial of Reports,Impact on Facilities,Alleged Involvement of Foreign Entities,Retaliation Vow,Specific Incidents,Official Explanation,Event,trigger
"August 10, 2009","Handlová, Trencin Region, Slovakia","20 killed, 9 injured",Mine explosion,"Deadliest mining disaster in Slovakia's history, explosion caused by flammable gases, mine rescuers extinguishing fire, official investigation, charges of negligence, rich source of brown coal, methane gas risk, safety measures, mine closure in 1990",-,,,,,,,,,,,,,2009 Handlov谩 mine blast
"November 21, 2009","Hegang, Heilongjiang, China","108 killed, 29 hospitalized","Trapped, pressurised gases underground","Xinxing coal mine explosion, state-run mine, China-Russia border, Heilongjiang Longmay Mining Holding Group Co., Ltd., mine production, poor ventilation, powerful blast, nearby building damage, compound injuries, rescue challenges, worst accident in recent years, ongoing rescue operation",420 rescued,"Mine open since 1917, annual coal production, blast impact radius, director's statement, rescue difficulties, hope for trapped individuals, mining company spokesperson's comment",,,,,,,,,,,,2009 Heilongjiang mine explosion
"February 7, 2010","Middletown, Connecticut, United States","6 deaths, at least 50 injured",Gas and oil-fired power plant explosion,"Blast at Kleen Energy Systems power station, construction status, plant's manager, contractors involved, explosion location, seismic impact, terrorism ruled out, natural gas involvement, flames from gas pipe",-,,,,,,,,,,,,,2010 Connecticut power plant explosion
"July 28, 2010","Qixia District, Nanjing, Jiangsu province, China","At least 13 killed, up to 300 injured",Rupture of propylene pipeline at Nanjing No.4 Plastics factory,"Eyewitness accounts of higher death toll, preliminary investigation findings",Most buildings within 100m radius flattened,,,,,,,,,,,,,2010 Nanjing chemical plant explosion
"December 19, 2010","San Martín Texmelucan de Labastida, Puebla, Mexico","29 killed (including 13 children), 52 injured",Oil pipeline explosion due to theft by Los Zetas drug cartel,"Fire with flames up to 10 meters, area of destruction, pollution of Atoyac River, military deployment, President Calderón's visit, investigation details",-,"Pemex-owned pipeline, thieves attempting to siphon oil, electricity and water cut off, involvement of Mexican military, drug cartel conflict, environmental impact assessment, stolen oil trafficking to the US",,,,,,,,,,,,2010 Puebla oil pipeline explosion
"September 9, 2010","San Bruno, California",8 deaths,Natural gas pipeline explosion,"Explosion in residential neighborhood, fire engulfing houses, evacuation, damage to homes, fire fighting efforts hampered by winds",-,"Pacific Gas & Electric, Crestmoor neighborhood, San Francisco International Airport proximity, initial confusion with earthquake or airplane crash, USGS earthquake registration, eyewitness reports, fireball height, gas pipe rupture, smoke clouds, gas shut off time, number of houses leveled and damaged, firefighter response, conflicting sources on house count, uninhabitable houses torn down, number of firefighters involved",,,,,,,,,,,,2010 San Bruno pipeline explosion
"July 2, 2010","Sange, South Kivu, Democratic Republic of the Congo","At least 230 deaths, 196 injured",Tank truck explosion,"Tanker overturns, explosion, cause of explosion, number of deaths, number of injuries, village location, border proximity, government official statements, spark ignition, hut destruction, victims demographics, medical treatment challenges, initial misinformation, UN peacekeepers misinformation, coordinates",Severe burn wounds reported,,,,,,,,,,,,,2010 South Kivu fuel tank explosion
"April 2, 2010","Anacortes, Washington",7 workers killed,Heat exchanger rupture and explosion,"Violent rupture, explosion, fire, shock wave felt across Fidalgo Bay, fireball, black smoke plume, 90 minutes to extinguish fire",-,"Tesoro Anacortes Refinery, maintenance restart operations, hydrogen and naphtha ignition, compensation to victims' families, fines and accusations against Tesoro, CSB investigation findings, high temperature hydrogen attack, carbon steel tubing rupture, CSB recommendations",,,,,,,,,,,,2010 Tesoro Anacortes Refinery disaster
"May 17, 2010","Zonguldak Province, Turkey",30 miners died,Firedamp explosion at Karadon coal mine,"Third mining disaster in Turkey in six months, state-owned Turkish Coal Corporation, bodies recovered, mining accidents statistics, Prime Minister's visit, protests, unsafe working conditions",-,,,,,,,,,,,,,2010 Zonguldak mine disaster
2011,"Dar es Salaam, Tanzania",20-32 killed,Ammunition depot explosions,"Series of explosions, military structures destroyed, homes flattened, debris scattered, evacuation of residents, calls for officials' resignation, airport closure",300 injured,"Second explosion in two years, request to relocate ammunition depots, missing children, evacuation orders, investigation launched, airport shutdown, previous similar incident in 2009",,,,,,,,,,,,2011 Dar es Salaam explosions
"September 12, 2011","Nairobi, Kenya","Approximately 100 killed, at least 116 hospitalized",Fuel spill explosion,"Pipeline fire in Lunga Lunga area, Molo fire comparison, Kenya Pipeline Company, fuel tank leak, explosion, spread to Sinai area, possible causes, Energy Minister's statement, KPC managing director's statement, uncertain death toll",Varying degrees of burns,,,,,,,,,,,,,2011 Nairobi pipeline fire
"September 5, 2012","Afyonkarahisar, Turkey","25 servicemen killed, 4 soldiers, 3 civilians injured",Arsenal explosion during classification works,"Fire at locality, remains recovered, ammunition transport details, lack of lighting issue, accidental grenade explosion, sequential explosions, removal of commanders, depot location, improper storage of grenades and ammunition",-,,,,,,,,,,,,,2012 Afyonkarahisar arsenal explosion
"February 27, 2012","Astrakhan, Russia","At least 10 killed, 12 injured, 5 missing",Natural gas explosion,"Nine-story apartment block collapse, Russia's Emergency Situations Ministry involvement, rescue efforts, Wikipedia stub for Russia-related event",Up to 14 trapped under rubble,,,,,,,,,,,,,2012 Astrakhan gas explosion
"November 1, 2012","Riyadh, Saudi Arabia","26 killed, 135-111 injured","Truck carrying fuel crashes into intersection flyover, igniting petrol","Al Ekhbariya television report, Agence France-Presse photographer account, amateur video footage, proximity to Prince Nayef Arab University, speculation of terrorist involvement, police statement, warning against congregating, cost estimation","Widespread damage, charred bodies, machinery, black smoke visible citywide",,,,,,,,,,,,,2012 Riyadh truck crash
"May 7, 2013","Ecatepec de Morelos, Mexico",27 killed,Tanker truck carrying liquefied petroleum gas explosion,Damage to 45 homes and 16 vehicles,More than 30,"Federal Highway 85, San Pedro Xalostoc community, prior cargo weight regulations, deadly accidents, protests, calls for reform",,,,,,,,,,,,2013 Ecatepec de Morelos gas tanker explosion
"May 25, 2013","Gujrat, Pakistan","17 killed (16 children, 1 driver), 7 wounded",Gas cylinder explosion in school minivan,"Children aged 6-12, spark during fuel switch, short-circuit near leaking petrol tank, conflicting reports on cause",-,"Pakistan gas bus explosion, explosion details, casualties breakdown, wounded individuals, age range of victims, conflicting reports on cause",,,,,,,,,,,,2013 Pakistan gas bus explosion
"April 29, 2013","Prague, Czech Republic","0 deaths, 43 injured",Natural gas explosion,"Blast heard across city center, damage to nearby buildings, no fatalities, gas leak as cause",1 serious,"Incident in townhouse belonging to Air Navigation Services, Divadelní street, shock wave damage, gas smell in area post-blast",,,,,,,,,,,,2013 Prague explosion
"August 6, 2013","Rosario, Argentina",22 dead,Gas explosion due to large gas leak,"Building collapse, risk of structural failure in other buildings, reconstruction estimated at six months, provincial judiciary investigation, Litoral Gas involvement, public figures' condolences, suspension of political campaigns, search and rescue operations, Argentine Federal Police task force deployment",60 injured,,,,,,,,,,,,,2013 Rosario gas explosion
2013,"Two Serendra, Taguig, Metro Manila, Philippines","3 killed, 5 injured",Condominium explosion,"Victims identified, false information on fatalities, victims' injuries, response from authorities, bomb attack possibility",-,"Interior Secretary Mar Roxas, Office of the Civil Defense, victims' identities, response from bomb-sniffing dogs, fire travel path",,,,,,,,,,,,2013 Serendra explosion
"March 12, 2014","East Harlem, Manhattan, New York City","8 killed, at least 70 injured",Gas leak explosion,"Explosion at 1644 and 1646 Park Avenue, two apartment buildings leveled, gas leak as the cause, NTSB investigation findings, buildings' height, residential units, businesses on ground floors, gas leak call, NTSB report on gas concentration, age of gas main, impact on Metro-North Railroad tracks, witness accounts of blast impact",100 families displaced,,,,,,,,,,,,,2014 East Harlem gas explosion
"June 27, 2014","Nagaram, East Godavari district, Andhra Pradesh, India","23 killed, around 40 injured",Blast in underground gas pipeline,"Fire outbreak, blast in GAIL 18"" size underground gas pipeline, near Tatipaka refinery of ONGC, distance from Vijayawada, injured shifted to Amalapuram and Kakinada hospitals",-,"State Finance Minister's statement, losses incurred, impact on crops, cattle, wildlife, time of incident, village location, Mandal details",,,,,,,,,,,,2014 GAIL pipeline explosion
"October 1, 2014","Gorni Lom, Vidin Province, Bulgaria","13 men, 2 women killed, 3 others injured",Series of explosions at former Midzhur Ammo Plant,"Factory completely destroyed, national day of mourning declared, main and secondary explosions, workers killed instantly, injuries from flying debris, amount of explosives stored, size of craters, debris distance, workers dismantling old Greek mines, previous citations, past incidents at the plant",-,,,,,,,,,,,,,2014 Gorni Lom explosions
"July 31, 2014","Cianjhen and Lingya districts, Kaohsiung, Taiwan","32 killed, 321 injured",Gas explosions following gas leaks,"Explosions in multiple districts, smell of gas reported earlier, white smoke from manholes, fireballs, flames reaching 15 stories high, road damage, vehicles blown into the air, blackout, gas, electricity, and water supply disruptions",-,"Eyewitness reports, time of initial gas leak, explosion locations, impact on households, firefighter casualties, army deployment, rescue efforts, hospital situation",,,,,,,,,,,,2014 Kaohsiung gas explosions
"August 2, 2014","Kunshan, Jiangsu, China","146 killed, 114 injured",Dust explosion at Zhongrong Metal Production Company,"Massive explosion at 7:37 a.m., high number of employees present, possible cause by flames igniting metal polishing dust",Over 180 treated at hospitals,"Overtime wages doubled during weekends, 44 died at the scene, 31 died at local hospitals, five hospitals treated wounded, speculation on the cause of the explosion",,,,,,,,,,,,2014 Kunshan explosion
"November 22, 2014","Selantik, Pantu, Sarawak, Malaysia","4 deaths, at least 30 injured",Coal mine explosion,"Faulty fan spark, underground mine gases, nationalities of workers (North Korea, Myanmar, Indonesia, China, Bangladesh), Malaysian Institution of Engineers investigation, Sarawak state government committee, hospitalization details, victims' identities, mine sealing, methane levels, flooding, air ignition risk",30 victims hospitalized,,,,,,,,,,,,,2014 Selantik coal mine explosion
"March 26, 2015","Manhattan, New York City, USA","2 deaths, at least 19 injured",Gas explosion due to illegal tap,"Explosion at 121 Second Avenue, East Village, Manhattan, illegal tap into gas main, three buildings destroyed, Con Edison involvement",4 critically injured,"Illegal tap discovered in August 2014, gas service to ""Sushi Park"" restaurant, apartments affected, gas shut off for 10 days, plumber certification process",,,,,,,,,,,,2015 East Village gas explosion
"August 12, 2015","Tianjin, China","173 deaths, 8 missing, 798 non-fatal injuries",Series of explosions at Port of Tianjin,"Explosions at container storage station, detonation of 800 tonnes of ammonium nitrate, fires continued to burn, additional explosions, investigation findings",Hundreds injured,"Ruihai Logistics company, hazardous chemicals handling, safety regulations not followed, warehouse contents, casualties breakdown, firefighters fatalities, company's operating license, site details",,,,,,,,,,,,2015 Tianjin explosions
"March 4, 2015","Zasyadko coal mine, Eastern Ukraine","23 confirmed dead, local rebels claimed 30",Suspected gas explosion,"230 people in the mine, conflicting death toll reports, Speaker of Ukrainian parliament's statement, Ukrainian President's call for access to mine",-,,,,,,,,,,,,,2015 Zasyadko mine disaster
"August 11, 2016","Dangyang, Hubei, China","22 killed, 5 injured",High-pressure steam pipe burst at coal-fired power plant,"Power plant closure, nearby companies affected, work safety overhaul launched, China-related article stub, disaster management article stub",3 critically injured,,,,,,,,,,,,,2016 Dangyang explosion
"December 11, 2016","Naivasha, Kenya","43 killed, 50+ injured",Truck carrying explosive chemicals explosion,"Small truck lost control, unmarked road bump, explosion on main highway, caught 10 other vehicles, including military vehicle, speculations on oil tanker cause, later identified as Mitsubishi Canter with Ugandan registration carrying industrial chemical substance",-,"Kenya National Disaster Operation Centre, local and international media coverage, stub articles on disaster management and Kenya-related topics",,,,,,,,,,,,2016 Naivasha Traffic Fireball
"December 20, 2016","Tultepec, Mexico","At least 42 killed, dozens injured",Fireworks explosion at San Pablito Market,"Major fireworks culture and industry, history of fireworks production, safety measures, cause unknown, gunpowder ignition, 300 tonnes of fireworks present, explosion time, number of deaths, injuries, children injured, damage to nearby homes, market leveled",At least 84 injured,"Instituto Mexiquense de la Pirotecnia, fireworks workshops, San Pablito Market, safety measures, previous explosions, injured children, transfer to Shriners Hospital, damage to nearby homes, explosion time",,,,,,,,,,,,2016 San Pablito Market fireworks explosion
"June 25, 2017","Ahmedpur East, Bahawalpur District, Punjab, Pakistan","219 killed, at least 34 injured",Tanker truck explosion,"Tanker truck overturns, explosion during looting, initial cause speculation, response efforts, aftermath details",-,"N-5 National Highway, driver sleeping, cargo looting, fuel quantity, route details, nearby village response, police attempts, conflicting reports on ignition, traffic diversions, ongoing treatment of injured",,,,,,,,,,,,2017 Bahawalpur explosion
"February 23, 2017","Lahore, Punjab, Pakistan",10 killed,Gas leak explosion at commercial market in Defence Y-block,"Blast in building under construction, confusion with terrorism, gas leak from cooking cylinder, skepticism on government's account, eyewitness accounts, Alferno Café damage, potential trigger for explosion",Dozens injured,,,,,,,,,,,,,2017 Lahore explosion
"February 25, 2018","Hinckley Road, Leicester","5 killed, 5 injured",Intentional fire for insurance claim leading to explosion,"Major incident, destruction of Żabka convenience store and flat, police response, fraudulent insurance claim, convictions, life imprisonment, involvement of Iraqi Kurds, girlfriend's death, lease takeover, shop opening, insurance fraud plan, purchase of petrol and other flammable substances",2 seriously,,,,,,,,,,,,,2018 Leicester explosion
"December 31, 2018","Magnitogorsk, Chelyabinsk Oblast, Russia","39 killed, 17 injured",Gas explosion at apartment block,"10-story building collapse, 623 units, 12 staircases, 48 units destroyed, 110 residents affected, denial of explosives traces, evacuation, risk of further collapse, rescue operations, Putin's visit, temperature during rescue, Evgeni Malkin tribute",-,,,,,,,,,,,,,2018 Magnitogorsk building collapse
"April 10, 2019","Durham, North Carolina","2 killed, 25 injured",Gas explosion,"Buildings destroyed, dozens damaged, lawsuits filed, Kaffeinate coffee shop, gas leak cause, contractors breaching gas line, widespread damage",9 firefighters injured,"11-foot-8 bridge, smell of gas reported, evacuation efforts, adjacent Porsche collection building destroyed, office building damage",,,,,,,,,,,,2019 Durham gas explosion
"January 21, 2019","Hub, Balochistan, Pakistan","26 killed, 16 injured",Bus-tank truck collision,"Passenger bus collision with tank truck, fatalities, burn injuries, route details, number of passengers, morgue location, investigation team formation",-,"Karachi to Panjgur route, Edhi Foundation, joint investigation team, transport in Pakistan Wikipedia stub",,,,,,,,,,,,2019 Hub accident
"January 12, 2019","6 Rue de Trevise, 9th arrondissement of Paris, France","4 deaths (2 firefighters, 1 Spanish tourist, 1 woman), 47 injured",Gas leak explosion,"Fire, destroyed windows, overturned cars, trapped individuals, charred debris, broken glass",-,"Eyewitness reports, firefighters present, investigation, Yellow Vest protests, response, officials' visits, charges filed",,,,,,,,,,,,2019 Paris explosion
"January 18, 2019","Tlahuelilpan, Hidalgo, Mexico","At least 137 killed, dozens injured",Gasoline pipeline explosion,"Explosion due to fuel thieves tapping the pipeline, security forces' efforts to move people away, leak reported at 17:04 CST, explosion at 19:10, four hours to extinguish fire, fuel theft issue in Mexico, involvement of organized crime groups, complicity of Pemex officials, criminal activities of gasoline theft groups, federal crime consequences, huachicoleros, discounted fuel sales",Large crowds gathered to steal fuel,,,,,,,,,,,,,2019 Tlahuelilpan pipeline explosion
"March 21, 2019","Chenjiagang Chemical Industry Park, Chenjiagang, Xiangshui County, Yancheng, Jiangsu, China","78 killed, 617 injured",Explosion at chemical plant,"Major explosion at Tianjiayi Chemical facility, State Council recognition, previous safety violations, fines, plant operations, production of fertilizer or pesticides, history of fires and deaths, lack of government oversight, bribes, government demands for shutdown of non-compliant firms",-,,,,,,,,,,,,,2019 Xiangshui chemical plant explosion
"November 4, 2020","Ahmedabad, Gujarat, India","12 deaths (including 5 women), 9 injured (including 4 women)",Chemical factory blast,"Blast at Sahil Enterprise, textile facility Kanika Texo Fab, building collapse, rescue operation, 60 firefighters, 24 fire engines, ex gratia announcement, investigation order, inquiry commission formation, FIR filed against owners",-,,,,,,,,,,,,,2020 Ahmedabad chemical factory blast
"August 4, 2020","Beirut, Lebanon","At least 218 deaths, 7,000 injuries",Ammonium nitrate explosion,"2,750 tonnes of ammonium nitrate stored unsafely, explosion felt in neighboring countries, seismic event, state of emergency declared, protests against government, grain silos demolition","US$15 billion in property damage, 300,000 people homeless","MV Rhosus, Lebanese authorities, warehouse fire, investigation ongoing, protests, economic crisis, COVID-19 impact",,,,,,,,,,,,2020 Beirut explosion
